	Elizabeth.Chris.WT.Ile.732542	Uri.Jake.TGIle.732486	Joey.Aaron.Kyle.WT.Ile.732540	Wang.TG.Fec.732515	Ryan.WT.Abd.732465	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	TH.CVA.WT.Ile.732517	Chen.Lladser.WT.Ile.732478	TH.CVA.WT.Fec.732553	Gail.TG.Cec.732526	Brad.Jon.WT.Con1.732543	Joey.Aaron.Kyle.WT.Fec.732462	Uri.Jake.TGCec.732550	Wang.TG.Oral.732507	Brad.Jon.WT.Abd.732474	Elizabeth.Chris.WT.Oral.732520	Joey.Aaron.Kyle.WT.Abd.732541	Uri.Jake.TGCon1.732472	Jordan.Lisette.TG.Ile.732463	Elizabeth.Chris.WT.Fec.732549	Joshua.Jose.WTIle.732530	Gail.TG.Abd.732538	Joey.Aaron.Kyle.WT.Col.732503	Chen.Lladser.WT.Fec.732512	Joey.Aaron.Kyle.WT.Oral.732506	Chen.Lladser.WT.Col.732473	Wang.TG.Cec.732527	Joshua.Jose.WTCol.732534	Ryan.WT.Col.732487	BLANK11.732489	Joey.Aaron.Kyle.WT.Con1.732511	Elizabeth.Chris.WT.Col.732481	Nick.Krishna.TG.Cec.732493	Jordan.Lisette.TG.Cec.732483	Gail.TG.Ile.732556	Brad.Jon.WT.Fec.732480	TH.CVA.WT.Con1.732476	Brad.Jon.WT.Col.732469	Brad.Jon.WT.Oral.732528	Ryan.WT.Fec.732502	Jordan.Lisette.TG.Fec.732499	Gail.TG.Fec.732514	Uri.Jake.TGOral.732536	Ryan.WT.Con7.732519	Nick.Krishna.TG.Oral.732464	Ryan.WT.Ile.732523	Joshua.Jose.WTCec.732546	TH.CVA.WT.Cec.732496	Gail.TG.Oral.732531	Elizabeth.Chris.WT.Cec.732516	Chen.Lladser.WT.Oral.732521	Joshua.Jose.WTCon1.732471	Joshua.Jose.WTOral.732551	Chen.Lladser.WT.Con1.732529	Wang.TG.Abd.732547	Elizabeth.Chris.WT.Con1.732495	Brad.Jon.WT.Ile.732492	Chen.Lladser.WT.Abd.732488	Ryan.WT.Cec.732545	Brad.Jon.WT.Cec.732554	Ryan.WT.Oral.732500	Joshua.Jose.WTFec.732466	Jordan.Lisette.TG.Col.732461	Nick.Krishna.TG.Abd.732510	Wang.TG.Ile.732525	Nick.Krishna.TG.Con1.732508	Jordan.Lisette.TG.Oral.732539	Nick.Krishna.TG.Ile.732501	Joey.Aaron.Kyle.WT.Cec.732518	Wang.TG.Con1.732535	Gail.TG.Con1.732475	Uri.Jake.TGFec.732494	Chen.Lladser.WT.Cec.732509	Jordan.Lisette.TG.Con1.732484	Wang.TG.Col.732505	Uri.Jake.TGCol.732482	Nick.Krishna.TG.Col.732532
Elizabeth.Chris.WT.Ile.732542	0.0	0.697223082565	0.525610437184	0.693375524971	0.548729863099	0.570972882458	0.628913162804	0.590236319678	0.737046009081	0.624474907277	0.589882815364	0.625080561435	0.494558815688	0.591906798657	0.783010910834	0.603473131527	0.736896637706	0.622327741162	0.568357500331	0.581132408702	0.452369803901	0.719892209977	0.715718798543	0.55161742638	0.626359134576	0.548468946639	0.648392592103	0.604255354967	0.577418717646	0.573667364708	0.82742352238	0.597771341579	0.705508027924	0.554323260138	0.622542572125	0.729034391037	0.620342522504	0.641730550224	0.776792406989	0.834907595583	0.526571402284	0.614120993131	0.694578583263	0.724422785673	0.542676820913	0.833370375443	0.645768526115	0.558044453161	0.621483258518	0.851600815753	0.518725433043	0.626012032923	0.56388892182	0.829004770664	0.701003402252	0.788161123957	0.597302528587	0.744197339728	0.729384855629	0.520057541561	0.599138500442	0.603913922741	0.569153153209	0.645882391335	0.65164926673	0.665786271017	0.650048434116	0.749347579954	0.719926672422	0.554699733266	0.681586086399	0.66446120926	0.641715011637	0.622711775807	0.651123280156	0.651734926247	0.617315111304	0.566169275117
Uri.Jake.TGIle.732486	0.697223082565	0.0	0.733469457113	0.54170214453	0.794556640349	0.584817732988	0.502622891525	0.613739141257	0.370714014151	0.568021943519	0.610038179017	0.575393794301	0.775786194252	0.558413911797	0.653270405486	0.623000188779	0.579595890155	0.577832523897	0.486171196856	0.628791828448	0.738285852235	0.748011259286	0.63354621863	0.806122786393	0.488342082928	0.580575482816	0.639384566179	0.635399093812	0.83523320231	0.791977688671	0.841111597079	0.765320624742	0.614277404264	0.56385610252	0.63974829693	0.473625235489	0.592698694868	0.517525298416	0.478760476271	0.694834831012	0.749562843785	0.651973235946	0.559054943748	0.581742703721	0.759198796301	0.691961021006	0.723479569036	0.806967427189	0.609017313358	0.683658299913	0.808388263255	0.715733498923	0.706194217697	0.845357499957	0.577540792893	0.818260984344	0.773169464775	0.45846468738	0.684230595823	0.789236648651	0.612331095398	0.535604346048	0.791212044263	0.666927332951	0.602030349157	0.459895704466	0.48940242517	0.72687730593	0.432048950781	0.787819273688	0.532943982196	0.495016757753	0.558543780928	0.526741291056	0.57933717389	0.627693424893	0.540626337966	0.522742017199
Joey.Aaron.Kyle.WT.Ile.732540	0.525610437184	0.733469457113	0.0	0.72356280673	0.502010996021	0.653618812539	0.66282105568	0.637152067274	0.754484919885	0.680091284744	0.629705694627	0.657303600371	0.430986080967	0.657835440984	0.771066907918	0.64085871406	0.775184544836	0.622245184992	0.636995409155	0.61619790601	0.548421730095	0.707983731668	0.733981782778	0.473477310958	0.671547149704	0.614233095465	0.681773293015	0.647385145325	0.546295255954	0.49818298039	0.83386847024	0.569326124771	0.744832196977	0.607818752085	0.669857272967	0.761672287333	0.627538183128	0.666355541495	0.766876210497	0.845035164996	0.561882859376	0.676564595304	0.712143076139	0.728179438689	0.540553523624	0.824565835855	0.652965308413	0.55197473258	0.671439737608	0.84797896994	0.509490606537	0.59685371771	0.547024972134	0.821096904312	0.733724409136	0.805985847566	0.649614780503	0.73326536827	0.75822208627	0.500803604029	0.602233037038	0.62675727644	0.560340497859	0.714801004386	0.689437576674	0.678262297881	0.705190852413	0.729100490851	0.759730937959	0.466796889824	0.695106983393	0.686078879425	0.695692192022	0.676713050684	0.691201032423	0.664750284774	0.653629244866	0.634719228314
Wang.TG.Fec.732515	0.693375524971	0.54170214453	0.72356280673	0.0	0.766227157642	0.426029454097	0.455735900162	0.51495302724	0.586516880353	0.445785730888	0.477488958297	0.564615803653	0.720865481435	0.419690416234	0.70825961701	0.60883434219	0.564877278787	0.598156116317	0.517675559217	0.535703396322	0.691161872708	0.713359095672	0.663411947611	0.736975742481	0.534138181218	0.539232281852	0.595180762839	0.432097106928	0.761877079556	0.768279643272	0.828932765164	0.743892398335	0.696717160021	0.480120813248	0.540292421972	0.483442776954	0.48798844925	0.521333238737	0.584979313534	0.742491577829	0.687708486959	0.55182767222	0.374614397641	0.618681126465	0.737023575125	0.760089829513	0.722820989723	0.730365207555	0.476068612646	0.759668369439	0.74630581276	0.722281135961	0.697647157567	0.844533934579	0.664650700282	0.809936385292	0.755685839055	0.567157009002	0.712304021799	0.729396543689	0.474994350686	0.575840300975	0.717472451785	0.547981372621	0.582101646555	0.521377350608	0.538904138235	0.741326797832	0.511941258723	0.750260767802	0.456523395181	0.486790942958	0.44197145928	0.496319125634	0.54349349884	0.393419545848	0.4387335272	0.46525588149
Ryan.WT.Abd.732465	0.548729863099	0.794556640349	0.502010996021	0.766227157642	0.0	0.691390270994	0.702859493302	0.652586605826	0.815391199456	0.682062221591	0.657809035395	0.668338250744	0.514129432237	0.699791765326	0.809906474513	0.685170336268	0.806899870436	0.694956994792	0.660289910178	0.667982529191	0.560298009016	0.745905834038	0.771521994847	0.528329169779	0.704898084692	0.631309577981	0.720545641356	0.639787740411	0.55766606281	0.430339363936	0.853725268413	0.64088464798	0.76322095332	0.63724797535	0.693018548655	0.816969884954	0.659745446047	0.704674397968	0.820545764674	0.850728610431	0.518416793597	0.697285798481	0.74033375438	0.800994077528	0.459735942685	0.865521617791	0.66268723207	0.536276479851	0.66492050517	0.885115249851	0.495883545327	0.644276222311	0.571020572886	0.864226844606	0.797669105451	0.833310240292	0.660061469657	0.805686738285	0.803123493064	0.378368853997	0.645918755882	0.67719266839	0.565619271959	0.728234727745	0.733251792053	0.747017377146	0.74746462574	0.808377128515	0.81953876898	0.549242828863	0.733107331394	0.739537375599	0.752183627202	0.711975785489	0.726332147725	0.663505108292	0.687926006769	0.66156643422
TH.CVA.WT.Col.732504	0.570972882458	0.584817732988	0.653618812539	0.426029454097	0.691390270994	0.0	0.489509091474	0.389896059481	0.61821709363	0.366262707515	0.446657451085	0.54332147281	0.644986776779	0.364245143205	0.712427746384	0.541568023392	0.682060046354	0.536386390801	0.473041045268	0.473832195759	0.646970157234	0.704899452936	0.651001153012	0.703067955777	0.527067644714	0.444137795683	0.568974283227	0.449707434027	0.689201820918	0.690766673063	0.838579785434	0.71788422836	0.690681871148	0.352269358664	0.42682562856	0.571059075917	0.474902877114	0.454332051652	0.65609198262	0.773376443074	0.650047701799	0.421979929748	0.459575855786	0.644300342577	0.688961374548	0.782059200095	0.667482738701	0.661995153817	0.364687102845	0.788036227642	0.676092987639	0.682368127551	0.676910135241	0.852186654923	0.641412352067	0.808814718191	0.726562591533	0.610627523402	0.657642388058	0.649641056172	0.457933179686	0.446862849307	0.677247966727	0.480300211578	0.528860071165	0.560084579422	0.515215497694	0.718331882324	0.546986140806	0.677523786583	0.517623140861	0.526025736395	0.418809557751	0.45978364543	0.465791594172	0.46336157009	0.413494478793	0.420038901544
Gail.TG.Col.732544	0.628913162804	0.502622891525	0.66282105568	0.455735900162	0.702859493302	0.489509091474	0.0	0.516149487807	0.489436500198	0.471416060204	0.408500853749	0.43895206473	0.699047965855	0.435334468292	0.620296413919	0.536864042086	0.594835246884	0.507304117984	0.478770553886	0.537671314158	0.627803805974	0.686528123369	0.569753348092	0.718275606907	0.413827289125	0.489572787378	0.572592680587	0.446168092129	0.734894514942	0.688396383987	0.817909817631	0.694302906624	0.648293459054	0.477121313441	0.521287526323	0.488932436947	0.370644168282	0.554976783615	0.518766036409	0.735736779891	0.690349611644	0.525992550897	0.41438175044	0.609423759256	0.698655748068	0.773209150607	0.683310740219	0.702124213868	0.500073258745	0.756248772671	0.705817260108	0.644624756329	0.642984194056	0.824600925371	0.594756867004	0.793082675438	0.711812917589	0.506523771957	0.686412226302	0.692579230775	0.450095299402	0.458924027377	0.707139232831	0.54321915826	0.524581722509	0.378200145675	0.499395638092	0.727142569266	0.536369370551	0.709093866353	0.440795151804	0.394818535746	0.516422844523	0.481942747066	0.546967855684	0.471540790641	0.486701905212	0.42837765331
TH.CVA.WT.Ile.732517	0.590236319678	0.613739141257	0.637152067274	0.51495302724	0.652586605826	0.389896059481	0.516149487807	0.0	0.646398463673	0.408122929447	0.436471217184	0.59089135025	0.657612571019	0.439618271995	0.760390584636	0.532176718947	0.684023512764	0.518781416221	0.516553833712	0.526624297147	0.685975331741	0.723708299299	0.644756426346	0.686334067371	0.528331527443	0.388612199004	0.546238687534	0.436432875325	0.670280473122	0.650574707065	0.849901820284	0.73216403403	0.741104714394	0.373548409658	0.370849076336	0.611386846812	0.46184848366	0.533729977295	0.689426775985	0.812724241305	0.689326616873	0.316586817911	0.571806693654	0.684877484848	0.689623152239	0.820090551769	0.653216268051	0.66440592186	0.315455113354	0.825486322415	0.640822541588	0.729648092967	0.681700949181	0.862269497708	0.691822497845	0.80820391793	0.745815004286	0.647045542385	0.699527666222	0.608607978829	0.432647568194	0.360176259607	0.692893686267	0.42947396255	0.557250792986	0.57156159606	0.581096734795	0.767083513495	0.595295161307	0.692534605671	0.604581885628	0.554413124849	0.521907250277	0.512848497882	0.521219558338	0.474402248009	0.459018729791	0.429988075736
Chen.Lladser.WT.Ile.732478	0.737046009081	0.370714014151	0.754484919885	0.586516880353	0.815391199456	0.61821709363	0.489436500198	0.646398463673	0.0	0.564592482288	0.640094111134	0.579452360132	0.787598718398	0.572944040564	0.659936004466	0.646684368017	0.564768101345	0.610085422113	0.528029820953	0.670130496592	0.722973382323	0.766485387041	0.621634298624	0.827869912052	0.50260542637	0.603176630693	0.671725491814	0.671212281515	0.865225695011	0.798642641799	0.837783518043	0.766031400627	0.638340862928	0.602248518266	0.671515515541	0.437105916221	0.578437792842	0.512430802071	0.420567170488	0.669090596611	0.763397538817	0.665987008454	0.577165330079	0.631198768001	0.773559216695	0.721556745167	0.735842077183	0.834182648052	0.615952037958	0.651197937051	0.833310246176	0.712276896588	0.747567863727	0.84172065217	0.557922876847	0.821503584105	0.775445551583	0.431770623471	0.731707859004	0.805432981579	0.667312060951	0.519956920333	0.816179875152	0.66848766456	0.619129334743	0.433427954961	0.457459679423	0.740386163921	0.428882156082	0.778991778642	0.469801854316	0.484956530714	0.569445762205	0.491730048563	0.592145409715	0.68027305637	0.540874010985	0.555606773418
TH.CVA.WT.Fec.732553	0.624474907277	0.568021943519	0.680091284744	0.445785730888	0.682062221591	0.366262707515	0.471416060204	0.408122929447	0.564592482288	0.0	0.477824431945	0.562378208688	0.665800852742	0.392525952536	0.775386956526	0.595826692139	0.649950796415	0.53081684103	0.449624264785	0.546548090914	0.659301383677	0.7573656397	0.657110102934	0.704609159584	0.507865294112	0.467634172137	0.56861145228	0.495094426259	0.709980380489	0.690745784273	0.83582531219	0.731129673289	0.680431473142	0.409036888496	0.439409799482	0.546989336819	0.492027363394	0.43169351601	0.599097510404	0.778061352634	0.668675773106	0.445862432628	0.476347653497	0.679463803931	0.67211353261	0.80555070734	0.699586635123	0.698414365872	0.342433360765	0.822459119309	0.704357495458	0.712857536638	0.658341883104	0.850337981677	0.651495856049	0.816609347918	0.733186126764	0.613522916436	0.712221381088	0.673535072392	0.500423902687	0.426434326113	0.688198301793	0.47828183191	0.566739511998	0.552401127064	0.505897663809	0.765693679575	0.538083560906	0.686719698972	0.539345955176	0.517579346874	0.450937548418	0.438427145897	0.452392767786	0.468117222573	0.40294740505	0.385770052628
Gail.TG.Cec.732526	0.589882815364	0.610038179017	0.629705694627	0.477488958297	0.657809035395	0.446657451085	0.408500853749	0.436471217184	0.640094111134	0.477824431945	0.0	0.48433965597	0.660707756322	0.44762639758	0.723870696141	0.554678522239	0.700330017561	0.564751799854	0.498732437326	0.539214813142	0.658027359389	0.696148451187	0.651559829728	0.695017784947	0.536672486399	0.438335046681	0.565238721702	0.383226494894	0.677136256858	0.639040053037	0.841395062372	0.697643964926	0.715080558397	0.390938770183	0.46673606384	0.588948721142	0.354081103495	0.560983764736	0.67046560085	0.817968057966	0.672893880752	0.462223433718	0.516878876566	0.680172476239	0.664847339117	0.832630525897	0.69539849827	0.649388949894	0.442384512861	0.833449463798	0.65669118056	0.704104606691	0.628657965928	0.848383413644	0.677648206577	0.802707720524	0.713930550689	0.619823512088	0.694387275085	0.631048106992	0.317706836482	0.508240808375	0.684636921611	0.501172463669	0.619085763707	0.516383172109	0.560951898229	0.764471568683	0.588941131019	0.688670563171	0.547986139287	0.514858691001	0.507309515293	0.524731254103	0.548865836767	0.385760152839	0.470855851676	0.413239674953
