	Elizabeth.Chris.WT.Ile.732542	Uri.Jake.TGIle.732486	Joey.Aaron.Kyle.WT.Ile.732540	Wang.TG.Fec.732515	Ryan.WT.Abd.732465	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	TH.CVA.WT.Ile.732517	Chen.Lladser.WT.Ile.732478	TH.CVA.WT.Fec.732553	Gail.TG.Cec.732526	Brad.Jon.WT.Con1.732543	Joey.Aaron.Kyle.WT.Fec.732462	Uri.Jake.TGCec.732550	Wang.TG.Oral.732507	Brad.Jon.WT.Abd.732474	Elizabeth.Chris.WT.Oral.732520	Joey.Aaron.Kyle.WT.Abd.732541	Uri.Jake.TGCon1.732472	Jordan.Lisette.TG.Ile.732463	Elizabeth.Chris.WT.Fec.732549	Joshua.Jose.WTIle.732530	Gail.TG.Abd.732538	Joey.Aaron.Kyle.WT.Col.732503	Chen.Lladser.WT.Fec.732512	Joey.Aaron.Kyle.WT.Oral.732506	Chen.Lladser.WT.Col.732473	Wang.TG.Cec.732527	Joshua.Jose.WTCol.732534	Ryan.WT.Col.732487	BLANK11.732489	Joey.Aaron.Kyle.WT.Con1.732511	Elizabeth.Chris.WT.Col.732481	Nick.Krishna.TG.Cec.732493	Jordan.Lisette.TG.Cec.732483	Gail.TG.Ile.732556	Brad.Jon.WT.Fec.732480	TH.CVA.WT.Con1.732476	Brad.Jon.WT.Col.732469	Brad.Jon.WT.Oral.732528	Ryan.WT.Fec.732502	Jordan.Lisette.TG.Fec.732499	Gail.TG.Fec.732514	Uri.Jake.TGOral.732536	Ryan.WT.Con7.732519	Nick.Krishna.TG.Oral.732464	Ryan.WT.Ile.732523	Joshua.Jose.WTCec.732546	TH.CVA.WT.Cec.732496	Gail.TG.Oral.732531	Elizabeth.Chris.WT.Cec.732516	Chen.Lladser.WT.Oral.732521	Joshua.Jose.WTCon1.732471	Joshua.Jose.WTOral.732551	Chen.Lladser.WT.Con1.732529	Wang.TG.Abd.732547	Elizabeth.Chris.WT.Con1.732495	Brad.Jon.WT.Ile.732492	Chen.Lladser.WT.Abd.732488	Ryan.WT.Cec.732545	Brad.Jon.WT.Cec.732554	Ryan.WT.Oral.732500	Joshua.Jose.WTFec.732466	Jordan.Lisette.TG.Col.732461	Nick.Krishna.TG.Abd.732510	Wang.TG.Ile.732525	Nick.Krishna.TG.Con1.732508	Jordan.Lisette.TG.Oral.732539	Nick.Krishna.TG.Ile.732501	Joey.Aaron.Kyle.WT.Cec.732518	Wang.TG.Con1.732535	Gail.TG.Con1.732475	Uri.Jake.TGFec.732494	Chen.Lladser.WT.Cec.732509	Jordan.Lisette.TG.Con1.732484	Wang.TG.Col.732505	Uri.Jake.TGCol.732482	Nick.Krishna.TG.Col.732532
Elizabeth.Chris.WT.Ile.732542	0.0	0.610791699931	0.269958534067	0.53466366139	0.446016937371	0.415265127323	0.52012458362	0.425536896077	0.628277969718	0.336419669649	0.355976111493	0.507355815554	0.217167990365	0.368148251893	0.782572869924	0.306124659326	0.619524624914	0.414597728837	0.404483275981	0.315921527873	0.198046820372	0.425205258087	0.771295037853	0.261771748107	0.378826304198	0.370218657949	0.343280557467	0.368920378527	0.274831603579	0.399487426015	0.490506882312	0.477495498968	0.720951982106	0.372148011012	0.332675732966	0.494317019959	0.35481017894	0.585749483827	0.767536448727	0.805043296628	0.279204638679	0.32952220234	0.554103248451	0.867980240881	0.433924129387	0.90370943565	0.560322498279	0.315647281487	0.369781913283	0.832626448727	0.210294748796	0.555677384721	0.466519415003	0.494432257398	0.650603179628	0.471646090847	0.328918692361	0.659977742602	0.669116256022	0.369768995182	0.356155925671	0.506264074329	0.290168768066	0.360343241569	0.636746173434	0.64028357192	0.553357783895	0.847482931865	0.509929036476	0.412064005506	0.45496440468	0.442344280798	0.481706999312	0.371602959394	0.372882188575	0.419061672402	0.420455375086	0.314838169305
Uri.Jake.TGIle.732486	0.610791699931	0.0	0.505751486579	0.758728465244	0.650836056435	0.460545375086	0.708927309016	0.581663434274	0.0993948176187	0.531444267034	0.625848114246	0.383585010323	0.676573991741	0.614446022023	0.779017687543	0.515658754301	0.509478403304	0.50233065382	0.367459862354	0.604845519615	0.631431596696	0.601232456986	0.784100130764	0.687241961459	0.445462037164	0.485144962147	0.5405410117	0.685028802478	0.742994893324	0.62332083276	0.792168616655	0.531619201652	0.594704067447	0.667264033035	0.621429566414	0.538832656573	0.640798933242	0.308531906401	0.522360619408	0.801071830695	0.633674645561	0.652408437715	0.75072788713	0.934729697178	0.479855719202	0.949030908465	0.674316799725	0.675870516173	0.569291479697	0.83275401927	0.685491073641	0.659527983482	0.593294487268	0.784094748796	0.418363509979	0.767850839642	0.524380247763	0.435842229869	0.673892236752	0.568613055747	0.621014962147	0.297646896077	0.70588952512	0.678193592567	0.636873922918	0.404718465244	0.355647364074	0.898962339986	0.491000791466	0.513146634549	0.462068093599	0.457722546456	0.631875230557	0.522072305575	0.47668973159	0.714528527185	0.569014700619	0.53185321404
Joey.Aaron.Kyle.WT.Ile.732540	0.269958534067	0.505751486579	0.0	0.636491610461	0.349499160358	0.507252195458	0.608137006194	0.453012222987	0.516339242946	0.404058850654	0.42304294563	0.401992105988	0.266553668273	0.466989318651	0.661228128011	0.358663386098	0.537233220922	0.313689353063	0.442253523744	0.404958465244	0.352803895389	0.42647092223	0.674618128011	0.304161954577	0.422799951824	0.283224005506	0.450593420509	0.432802367515	0.334751169993	0.311116187199	0.528192009635	0.287878189952	0.650566841019	0.460108747419	0.389225581555	0.543625051617	0.43276092223	0.471282594632	0.655651238816	0.693189938059	0.391651803166	0.393951142464	0.65286008947	0.774760591879	0.339735437027	0.793821582932	0.554405051617	0.289033771507	0.464172587749	0.720017522368	0.291609621473	0.429648251893	0.311365051617	0.522926730902	0.55277422574	0.509061211287	0.263639704061	0.553103668273	0.555612243634	0.250541720578	0.408525664143	0.379097556779	0.324776455609	0.434040013765	0.518730488644	0.535700991053	0.453080777701	0.74435366139	0.565437825189	0.213337405368	0.49143476256	0.478547673778	0.565679972471	0.431555739849	0.373304356504	0.51911871989	0.514801961459	0.367332105988
Wang.TG.Fec.732515	0.53466366139	0.758728465244	0.636491610461	0.0	0.796907990365	0.341423626979	0.0965217481074	0.58752193393	0.763740516173	0.371826662078	0.33983842395	0.704738843772	0.50219550585	0.279465402615	1.007909883	0.476322759807	0.794442092223	0.613931149346	0.500489580179	0.397498210599	0.45410687543	0.687892980041	0.981954280798	0.438097253957	0.403389084652	0.571065705437	0.463760020647	0.309300846524	0.558852553338	0.737707907777	0.719968286304	0.791710364763	0.938540695114	0.2783930351	0.480745560908	0.323597102546	0.289154459738	0.792007625602	0.929328052306	1.03535750172	0.416061858224	0.420097838954	0.0785262078458	1.09081754301	0.804124280798	1.13450898142	0.80857401927	0.67020845148	0.315641734343	1.06141105988	0.582050660702	0.842940908465	0.808222236752	0.728560254646	0.828941266345	0.702376703372	0.675432966277	0.811667474191	0.892196861666	0.743730619408	0.477630887818	0.736675898142	0.506652787337	0.370162746043	0.837584328975	0.789443076394	0.700961940812	1.08189262216	0.301035547144	0.745423964212	0.475396710255	0.495770529938	0.172036841019	0.367159724708	0.569732305575	0.163687742602	0.268371520991	0.384970350998
Ryan.WT.Abd.732465	0.446016937371	0.650836056435	0.349499160358	0.796907990365	0.0	0.696242876807	0.78338282863	0.583647653131	0.656530240881	0.591634679972	0.552033916036	0.547795161734	0.477086813489	0.627414755678	0.609182512044	0.559347019959	0.536604328975	0.501271968341	0.663308375774	0.556719497591	0.559214934618	0.486993234687	0.587935388851	0.534357467309	0.650578189952	0.379669125946	0.617395856848	0.556022105988	0.476162154164	0.200732938747	0.590633496215	0.362665512732	0.647771245699	0.609829174123	0.496996923606	0.763359862354	0.587675622849	0.529659938059	0.689069504474	0.638503702684	0.595689380592	0.510117006194	0.822533771507	0.635030640055	0.351585898142	0.668406001376	0.509213448039	0.402126985547	0.630244838266	0.645457604955	0.376262477632	0.483048169305	0.291358403304	0.593619669649	0.605447315898	0.587231438403	0.44619458362	0.660557845836	0.568473730213	0.145345354439	0.530983420509	0.478146985547	0.522351087405	0.559956228493	0.562442367515	0.62741193393	0.633640185822	0.618878121129	0.785124349621	0.347024645561	0.710871156228	0.698322484515	0.763755801789	0.640544342739	0.547951596696	0.672767804542	0.693276276669	0.542854432209
TH.CVA.WT.Col.732504	0.415265127323	0.460545375086	0.507252195458	0.341423626979	0.696242876807	0.0	0.313712064694	0.502099408121	0.482312842395	0.171589050241	0.278395072264	0.572130110117	0.406218582244	0.237923592567	0.904981741225	0.342381541638	0.68124193393	0.475618602891	0.301876662078	0.332191885754	0.308259931177	0.631179690296	0.913909993118	0.347522656573	0.223708293187	0.483225629732	0.344789442533	0.273184253269	0.472333537509	0.646313544391	0.657313358568	0.651181796284	0.79387615967	0.271411266345	0.389498561597	0.210583922918	0.224200949759	0.532704590502	0.767636758431	0.930598885065	0.29937824501	0.327834542326	0.348734776325	1.00612573985	0.654633000688	1.04287307639	0.734032635926	0.569093716449	0.163888458362	0.958230144529	0.494163812801	0.739923833448	0.684070777701	0.667618967653	0.651905609085	0.644028093599	0.530310330351	0.676196455609	0.799074638679	0.61934366139	0.410149270475	0.508907164487	0.396316276669	0.288654535444	0.73148824501	0.647646730902	0.527778671714	0.986970096352	0.189585602202	0.59425532691	0.360949807295	0.371932326222	0.231880220234	0.226430233999	0.42708157605	0.290672608396	0.225468196834	0.267449834825
Gail.TG.Col.732544	0.52012458362	0.708927309016	0.608137006194	0.0965217481074	0.78338282863	0.313712064694	0.0	0.582459704061	0.711833454921	0.340446689608	0.327287866483	0.66016991053	0.499659222299	0.263599057123	0.987541472815	0.436305306263	0.76721247075	0.573883799036	0.4518260702	0.390281885754	0.428027136958	0.689672209222	0.957220860289	0.438539277357	0.349820426703	0.559268857536	0.446922608396	0.312507715072	0.563000578114	0.73606026841	0.713861706813	0.758103372333	0.903086586373	0.27744717137	0.484544652443	0.269962539573	0.260323269098	0.746893227805	0.87944181693	1.02105044047	0.394937522368	0.425388699243	0.0826582794219	1.0772268479	0.770267955953	1.12061079835	0.802223103923	0.662277563661	0.286441940812	1.04719107364	0.584819483827	0.834461018582	0.788996111493	0.722337777013	0.783639807295	0.696381452168	0.638761307639	0.766948465244	0.875028644184	0.726263764625	0.476656173434	0.685794094976	0.499094948383	0.37535386786	0.81120943565	0.739073592567	0.658076545079	1.06814322092	0.247088940124	0.711078816242	0.431748754301	0.438207061253	0.134479304886	0.310451658637	0.53161541638	0.170441920165	0.234888602891	0.347029965588
TH.CVA.WT.Ile.732517	0.425536896077	0.581663434274	0.453012222987	0.58752193393	0.583647653131	0.502099408121	0.582459704061	0.0	0.610003317275	0.408045898142	0.399551851342	0.549149132829	0.46945743978	0.402154012388	0.866806311081	0.388302284928	0.683406944253	0.427407825189	0.504023103923	0.363710137646	0.513006579491	0.561301865107	0.793026510668	0.489644074329	0.465132009635	0.324783289745	0.343183083276	0.43744952512	0.503074556091	0.511909015829	0.663498121129	0.635786861666	0.834215870613	0.427539676531	0.374806971783	0.563824776325	0.448081059876	0.590512931865	0.808027756366	0.892936022023	0.55280083276	0.403000116999	0.625848774948	0.949516655196	0.644633317275	0.990847336545	0.666214301445	0.486424507915	0.400128761184	0.917545946318	0.445982546456	0.693107205781	0.62830827254	0.657602642808	0.698609779766	0.639844156917	0.541287990365	0.710170330351	0.754011169993	0.536667790778	0.313323503097	0.508940860289	0.529312395045	0.427003289745	0.660744790089	0.681087749484	0.566067522368	0.940263613214	0.552399903648	0.57822613214	0.565571004818	0.528333331039	0.547019064006	0.45229842395	0.457233234687	0.484829938059	0.412389834825	0.38816026841
Chen.Lladser.WT.Ile.732478	0.628277969718	0.0993948176187	0.516339242946	0.763740516173	0.656530240881	0.482312842395	0.711833454921	0.610003317275	0.0	0.551411431521	0.645066056435	0.401562278045	0.691855498968	0.638294439092	0.765376194081	0.478091025465	0.521356483138	0.476497584308	0.390520158293	0.6088520234	0.646214053682	0.598983310392	0.769911328286	0.702403936683	0.438687949071	0.514058100482	0.559354838266	0.703056930489	0.759113262216	0.636825313145	0.789535161734	0.491748664831	0.578565918789	0.68476487956	0.646837501721	0.530396503785	0.648900385409	0.302946008259	0.480041231934	0.791501376462	0.644929903648	0.678433551273	0.752650839642	0.9284220234	0.491441631108	0.942349428768	0.678551328286	0.690014101858	0.591069518238	0.823578953889	0.70190714384	0.6581560702	0.590538981418	0.777245423262	0.389407357192	0.761138403304	0.525618671714	0.394517790778	0.669704301445	0.569435719202	0.650720681349	0.321886448727	0.717338134893	0.70268256022	0.602870199587	0.399576214728	0.340605017206	0.892997185134	0.501689538885	0.513036373021	0.479553441156	0.447316992429	0.64941467309	0.529324893324	0.495109931177	0.719706510668	0.596393028217	0.553885843083
TH.CVA.WT.Fec.732553	0.336419669649	0.531444267034	0.404058850654	0.371826662078	0.591634679972	0.171589050241	0.340446689608	0.408045898142	0.551411431521	0.0	0.197778891948	0.473542092223	0.319186806607	0.2018329181	0.836581995871	0.253012271163	0.657253296628	0.375553186511	0.277735911906	0.244234384033	0.265830770819	0.572712567103	0.837364618032	0.278183626979	0.174019119064	0.378627811425	0.27009128011	0.222905925671	0.378441266345	0.541765347557	0.575209924295	0.57646181693	0.761572477632	0.235377591191	0.292448134893	0.245225815554	0.17813788713	0.484751342051	0.725199215416	0.861021039229	0.292592869924	0.231404817619	0.383374934618	0.931883613214	0.555048024776	0.963676703372	0.706314239504	0.478968795595	0.11546273916	0.8902830351	0.39443845148	0.658693860977	0.582868100482	0.587295079147	0.598752746043	0.563375230557	0.447220261528	0.633313379215	0.730516366139	0.510774459738	0.321527543014	0.413135485203	0.309875732966	0.237281410874	0.653584962147	0.612285141087	0.460934838266	0.910102780454	0.261351225052	0.512933764625	0.327007446662	0.334357921542	0.262382071576	0.153177632485	0.302840963524	0.260737653131	0.222266675843	0.159477921542
