	Elizabeth.Chris.WT.Ile.732542	Uri.Jake.TGIle.732486	Uri.Jake.TGCec.732550	Nick.Krishna.TG.Oral.732464	Joey.Aaron.Kyle.WT.Ile.732540	Wang.TG.Fec.732515	Ryan.WT.Abd.732465	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	TH.CVA.WT.Ile.732517	Brad.Jon.WT.Oral.732528	TH.CVA.WT.Fec.732553	Brad.Jon.WT.Col.732469	Brad.Jon.WT.Con1.732543	Joey.Aaron.Kyle.WT.Fec.732462	Chen.Lladser.WT.Fec.732512	Wang.TG.Ile.732525	Uri.Jake.TGOral.732536	Elizabeth.Chris.WT.Oral.732520	Joey.Aaron.Kyle.WT.Abd.732541	Ryan.WT.Fec.732502	Jordan.Lisette.TG.Ile.732463	Elizabeth.Chris.WT.Fec.732549	Joshua.Jose.WTIle.732530	Gail.TG.Abd.732538	Joey.Aaron.Kyle.WT.Col.732503	Joey.Aaron.Kyle.WT.Oral.732506	Joshua.Jose.WTOral.732551	Nick.Krishna.TG.Abd.732510	Chen.Lladser.WT.Col.732473	Nick.Krishna.TG.Cec.732493	Nick.Krishna.TG.Ile.732501	Brad.Jon.WT.Fec.732480	Ryan.WT.Ile.732523	BLANK11.732489	Joey.Aaron.Kyle.WT.Con1.732511	Elizabeth.Chris.WT.Col.732481	Brad.Jon.WT.Cec.732554	Jordan.Lisette.TG.Cec.732483	Gail.TG.Ile.732556	Chen.Lladser.WT.Oral.732521	Brad.Jon.WT.Abd.732474	TH.CVA.WT.Con1.732476	Gail.TG.Cec.732526	Chen.Lladser.WT.Ile.732478	Uri.Jake.TGCon1.732472	Jordan.Lisette.TG.Fec.732499	Gail.TG.Fec.732514	Ryan.WT.Con7.732519	Wang.TG.Oral.732507	Joshua.Jose.WTCec.732546	TH.CVA.WT.Cec.732496	Elizabeth.Chris.WT.Cec.732516	Joshua.Jose.WTCol.732534	Joshua.Jose.WTCon1.732471	Ryan.WT.Cec.732545	Chen.Lladser.WT.Con1.732529	Wang.TG.Abd.732547	Ryan.WT.Col.732487	Elizabeth.Chris.WT.Con1.732495	Brad.Jon.WT.Ile.732492	Chen.Lladser.WT.Abd.732488	Jordan.Lisette.TG.Col.732461	Ryan.WT.Oral.732500	Joshua.Jose.WTFec.732466	Jordan.Lisette.TG.Oral.732539	Gail.TG.Oral.732531	Nick.Krishna.TG.Con1.732508	Wang.TG.Cec.732527	Joey.Aaron.Kyle.WT.Cec.732518	Wang.TG.Con1.732535	Gail.TG.Con1.732475	Uri.Jake.TGFec.732494	Chen.Lladser.WT.Cec.732509	Jordan.Lisette.TG.Con1.732484	Wang.TG.Col.732505	Uri.Jake.TGCol.732482	Nick.Krishna.TG.Col.732532
Elizabeth.Chris.WT.Ile.732542	0.0	0.806655653625	0.725812784473	0.919666144376	0.607045223002	0.784580126952	0.655854585023	0.766881424062	0.773438710514	0.733693571342	0.926332554087	0.756351806576	0.865149082547	0.723804937731	0.643059195087	0.719065211292	0.805924675288	0.848510274974	0.854551396788	0.704720511324	0.653947180919	0.711771037039	0.592083560221	0.779456110776	0.809356773931	0.616341009307	0.701039237903	0.872725319758	0.744086812524	0.743650800976	0.7192065227	0.806009332533	0.72106778153	0.738375476885	0.86586660281	0.685330929529	0.852700653823	0.733745656889	0.726642362869	0.819262776853	0.724874865523	0.705727961604	0.783756929935	0.734922650698	0.833595388916	0.716614328736	0.751976249141	0.825798746457	0.654511711214	0.880797077374	0.653483148149	0.753233358351	0.638619958515	0.693544738548	0.672812412912	0.648654164193	0.817957663726	0.842061038533	0.675378279823	0.662522407206	0.846114758899	0.789348947944	0.73358739237	0.717434770673	0.676994603206	0.858886369651	0.932371136334	0.76033450529	0.740537844452	0.624585438027	0.78461223111	0.775339135972	0.737756488764	0.752393985582	0.775254307021	0.727018485287	0.720551505664	0.721698350702
Uri.Jake.TGIle.732486	0.806655653625	0.0	0.700510677258	0.90341247038	0.83792322431	0.730975572533	0.886099296842	0.742362486518	0.682963884411	0.75707707074	0.876689979613	0.701365182311	0.73824618001	0.711130698281	0.882867959413	0.69334642258	0.650772874008	0.84456090674	0.791040623261	0.738459368017	0.886225358413	0.742180350758	0.884576207301	0.834958427996	0.795480720326	0.883411307687	0.722378790191	0.90204178884	0.750737419347	0.755718808135	0.724948892933	0.633256512172	0.74394854782	0.839258514454	0.915215296358	0.860243625081	0.813868953839	0.754582729373	0.754811776472	0.64799528085	0.867103851355	0.725331686549	0.702849565162	0.732246872475	0.668080924046	0.719355093675	0.781887869766	0.742051921723	0.854047019317	0.856888422364	0.889998287504	0.729757266419	0.899804183215	0.912127955742	0.856795291816	0.892617607796	0.726191365666	0.880041903676	0.880423727927	0.854819930971	0.732957704606	0.817213585789	0.750715036455	0.715329659434	0.907495735581	0.886718254909	0.882917728902	0.721773294618	0.771746134868	0.871418942156	0.65939819557	0.677474171386	0.715654344748	0.719977501271	0.7375632797	0.759989455388	0.71571020726	0.710761460467
Uri.Jake.TGCec.732550	0.725812784473	0.700510677258	0.0	0.90379961193	0.74541326006	0.650307679238	0.78486810968	0.601252283485	0.63021729068	0.628342450807	0.915816581104	0.62494865595	0.800534604389	0.653236634756	0.786935466182	0.593134532036	0.718166367081	0.846643297177	0.873698743688	0.701391963452	0.819287597965	0.662406329762	0.798642278842	0.809109043845	0.783144398764	0.765848814262	0.588553953671	0.890562481253	0.669747886456	0.682084531451	0.580469718312	0.695910038307	0.592597701625	0.815349446195	0.890789804271	0.804094682013	0.870576832561	0.614936272711	0.63077635577	0.720781550364	0.793028441651	0.653014880328	0.693622460537	0.610630017889	0.7703230588	0.63260674477	0.623775829784	0.687799943406	0.791916742581	0.878324605062	0.773286135233	0.605488941105	0.787763234149	0.818841200737	0.759590917956	0.796701512468	0.745411548764	0.863043199743	0.800680591203	0.80746794295	0.804372197605	0.762073174785	0.580440854267	0.64005770671	0.80425142505	0.889711385055	0.923912801604	0.665923448001	0.639160730843	0.778408165624	0.705066784751	0.669007298136	0.597859416173	0.616590396888	0.671186004772	0.617541098607	0.546855985102	0.508641089184
Nick.Krishna.TG.Oral.732464	0.919666144376	0.90341247038	0.90379961193	0.0	0.914274631727	0.909503780804	0.911828746528	0.901837035496	0.903420753372	0.917964362317	0.805782919768	0.924743308144	0.891760532053	0.869740511518	0.92250574413	0.912728563162	0.904604900464	0.779049483258	0.847031149849	0.892191637822	0.925291653641	0.88649254164	0.927522492873	0.886721113266	0.83657851957	0.927277434034	0.884601042601	0.881051961909	0.815674423959	0.89897979576	0.907026962691	0.926989832823	0.920789263904	0.907657759923	0.914305645514	0.902798679917	0.861250805033	0.920048200508	0.921348387912	0.896494610274	0.837467105589	0.869643914844	0.889251718552	0.893593716994	0.905612561898	0.869812793927	0.925825959324	0.906969247442	0.925680017897	0.83285589379	0.927124635205	0.92882361011	0.942561066596	0.928794842497	0.893801976114	0.925211719771	0.869938882317	0.897408713095	0.909474824879	0.915317420242	0.888178568761	0.872884172532	0.918598773912	0.874258174317	0.934028449606	0.822691884204	0.777972513329	0.854487887311	0.931262297197	0.931814756023	0.86368809226	0.883818530936	0.913072860897	0.911107827645	0.891457832588	0.925126482493	0.904767360119	0.912448006493
Joey.Aaron.Kyle.WT.Ile.732540	0.607045223002	0.83792322431	0.74541326006	0.914274631727	0.0	0.80450993683	0.641786390865	0.766429271255	0.800398661727	0.725561245	0.929449543223	0.787717344761	0.845685625416	0.750708115637	0.550215687842	0.766741254616	0.812595282572	0.860355367778	0.863215226623	0.704099051169	0.683232680444	0.692956536037	0.677582564372	0.77574351152	0.83912477784	0.523735370006	0.727319838428	0.8871455784	0.763404915666	0.7654846587	0.764732015171	0.840121130203	0.725455150851	0.682810926081	0.883707251158	0.640685142278	0.861025221472	0.729557880789	0.724756043334	0.846510817924	0.704497293537	0.750022606132	0.760691815056	0.757871090626	0.855313297525	0.735521631458	0.75899801349	0.855566590851	0.681151305361	0.89064591507	0.595609478513	0.754025413697	0.624824841052	0.671853495561	0.632643670369	0.620090447534	0.827776588423	0.870263705033	0.597101690772	0.706263066715	0.852742744699	0.824009338151	0.75563206386	0.724597025813	0.662748910474	0.884734613068	0.926984822366	0.7947767483	0.772018945668	0.580575028572	0.803400225352	0.78499666056	0.786711185765	0.776014693559	0.772975431191	0.75323749791	0.758506671138	0.733077961055
Wang.TG.Fec.732515	0.784580126952	0.730975572533	0.650307679238	0.909503780804	0.80450993683	0.0	0.847518471895	0.658809447541	0.613080936184	0.685078969852	0.913911900538	0.661007856482	0.784381058894	0.661156981272	0.841548428608	0.673479513328	0.712225123813	0.828359179158	0.858367774837	0.721349521294	0.853269975365	0.66255770481	0.835722324582	0.820308944528	0.793615230756	0.834244167598	0.680807748574	0.905456669847	0.73407213355	0.747184780079	0.662557521024	0.744204757815	0.600768216431	0.832071564714	0.903471025167	0.851009307548	0.856272804343	0.637225528055	0.702305271626	0.671937149678	0.843902375362	0.702423573469	0.726506269949	0.598755372065	0.780237016712	0.694799492304	0.716211525481	0.669713394127	0.846417411554	0.861397589462	0.829689142743	0.656609905991	0.834155200337	0.8455079699	0.817150732151	0.853588783246	0.797831753456	0.880837945222	0.820671857398	0.841237790071	0.768295864502	0.79441224006	0.694325820795	0.691665459983	0.841877215058	0.882795310551	0.922503379009	0.752584793886	0.647859152127	0.838993824401	0.663308457259	0.678632537079	0.640017796253	0.675017375339	0.716008569149	0.588239185618	0.676370191269	0.673798047129
Ryan.WT.Abd.732465	0.655854585023	0.886099296842	0.78486810968	0.911828746528	0.641786390865	0.847518471895	0.0	0.799084601826	0.836530664978	0.783270218411	0.922242575969	0.807309236477	0.871842181677	0.776140599484	0.655804953607	0.792857872882	0.855042807039	0.868854315162	0.89450779443	0.746046422911	0.661684662146	0.775595312044	0.689762517116	0.802938693647	0.856948768697	0.659086568915	0.760031079622	0.85369911388	0.781356923591	0.790444945521	0.776482199868	0.871120690495	0.775076574304	0.748474732159	0.85284408372	0.691893500556	0.837231756546	0.781992648676	0.766709684021	0.873507433003	0.741126016581	0.761118759818	0.797015031277	0.761570609824	0.87376385912	0.775657743263	0.795426746609	0.876933403517	0.639273714723	0.897398043738	0.678182028296	0.810812477322	0.633356987478	0.68999270239	0.69619630375	0.56024148045	0.839982987288	0.84755999715	0.608027807656	0.726256540582	0.876502648449	0.839412501677	0.780496790695	0.769692895486	0.729147963256	0.861009257465	0.925163511729	0.807106318406	0.795235540483	0.656828301845	0.821043561745	0.829829707126	0.815720865633	0.811943594017	0.800684726432	0.793512677761	0.792700906672	0.767677433297
TH.CVA.WT.Col.732504	0.766881424062	0.742362486518	0.601252283485	0.901837035496	0.766429271255	0.658809447541	0.799084601826	0.0	0.685901188071	0.622130606968	0.9025653382	0.608503675553	0.792026643216	0.679070359192	0.815633012497	0.668151832519	0.773368846414	0.827270107525	0.852576026367	0.640449461564	0.843932245858	0.676200455223	0.827487454719	0.818648316785	0.774097986019	0.811416884182	0.641027461754	0.891052716098	0.689932593407	0.724589487674	0.645278924836	0.725785410939	0.655110397399	0.825934766004	0.891748784171	0.83470135874	0.851098472595	0.676785310103	0.602369282362	0.715544654043	0.813091244854	0.677447531196	0.67874255571	0.643011006756	0.768489120197	0.672897458792	0.634360849354	0.747393543736	0.835845970086	0.876122038486	0.812041731304	0.591885377826	0.796483284447	0.82788376356	0.797450677638	0.809709033661	0.777608538854	0.868536950032	0.800702532367	0.830808212157	0.780863458033	0.764160129386	0.614774946429	0.58323092538	0.818451985964	0.872687754632	0.913350809112	0.715171708654	0.689345038326	0.81209496705	0.70790335716	0.727280962701	0.660226284343	0.686830579588	0.643494881173	0.673065235198	0.635928525278	0.608580313736
Gail.TG.Col.732544	0.773438710514	0.682963884411	0.63021729068	0.903420753372	0.800398661727	0.613080936184	0.836530664978	0.685901188071	0.0	0.684038047964	0.922241291921	0.660109408705	0.777790007147	0.676963470003	0.833376115485	0.662164116619	0.687882035196	0.839827101772	0.857928588925	0.714127513743	0.83923830581	0.689837476532	0.84068026318	0.829876625588	0.775154280539	0.829848611066	0.666486471274	0.904518353192	0.712592442456	0.731603079454	0.665653691642	0.702720546519	0.616759335669	0.828738388628	0.905319033953	0.849254423253	0.847728021207	0.644279923986	0.677807977564	0.656798259051	0.841789790254	0.671429667664	0.740653151794	0.610844250157	0.743636360643	0.692744347887	0.694932196937	0.633401117976	0.834067145743	0.873386481037	0.840730493354	0.645113226432	0.838850256889	0.847635957412	0.82775474352	0.854414948762	0.771566772936	0.871310897895	0.827143044444	0.849143489041	0.754278004384	0.804873838718	0.673142064459	0.674346264419	0.858756302247	0.893224901317	0.921203872621	0.717724637969	0.63176864351	0.841329685491	0.650136931413	0.664239432219	0.650696259208	0.691374826493	0.705480219297	0.635429998485	0.645339287706	0.625759175312
TH.CVA.WT.Ile.732517	0.733693571342	0.75707707074	0.628342450807	0.917964362317	0.725561245	0.685078969852	0.783270218411	0.622130606968	0.684038047964	0.0	0.910399958889	0.642039724463	0.828755109241	0.696097279998	0.780525579008	0.661788540301	0.75262254111	0.838385264841	0.865541328174	0.625106469126	0.824186181114	0.647509643522	0.830627637988	0.802046590082	0.768493126056	0.797780750809	0.608117154517	0.895640064932	0.681590908041	0.67838952199	0.635095635784	0.763575909837	0.627204161363	0.791223734985	0.89542279273	0.816694821857	0.868129341304	0.605008723958	0.546789515747	0.750485838876	0.80837888021	0.642143242178	0.730041680436	0.627497257821	0.808171513358	0.709155010505	0.598275788938	0.761304542164	0.820159130437	0.870572448494	0.784411061238	0.600063015382	0.750479314437	0.815898879571	0.802492542272	0.793668867439	0.804233957195	0.876159539806	0.756635404429	0.816940696963	0.81559087882	0.753675229622	0.584012609185	0.597418842536	0.817551286582	0.876167047489	0.922193299341	0.753817796778	0.645885990647	0.802690294197	0.764793847362	0.72764041047	0.688323351641	0.704108985233	0.698985946784	0.621740186398	0.670816262043	0.60261225236
Brad.Jon.WT.Oral.732528	0.926332554087	0.876689979613	0.915816581104	0.805782919768	0.929449543223	0.913911900538	0.922242575969	0.9025653382	0.922241291921	0.910399958889	0.0	0.906138183072	0.896365287251	0.876316935218	0.945151594288	0.916378442847	0.889988951733	0.769811291029	0.813157090105	0.871122915051	0.943790456578	0.875692888843	0.934710391762	0.869190123964	0.814981336569	0.930045534179	0.883999968952	0.885449043389	0.825347688995	0.880033697959	0.911700020362	0.898276615917	0.919572309147	0.924576287978	0.908612561588	0.911371502985	0.845238106621	0.926520906423	0.921848462986	0.903847101707	0.858391075784	0.868206994364	0.862619844091	0.901107624394	0.891853869298	0.899671758676	0.921059601925	0.913150501887	0.93779642687	0.785024122017	0.960503749192	0.919200998382	0.950144409653	0.95702770737	0.930806825719	0.94835229504	0.869473906837	0.900392329514	0.919082490802	0.911469557694	0.864105408077	0.880442155083	0.917747456204	0.889030198904	0.965834037492	0.795896797649	0.763191372249	0.864466880022	0.929295838273	0.953014029807	0.843124469493	0.869072053292	0.919993507318	0.91822913022	0.882716036316	0.924577953782	0.921639231461	0.920847835716
TH.CVA.WT.Fec.732553	0.756351806576	0.701365182311	0.62494865595	0.924743308144	0.787717344761	0.661007856482	0.807309236477	0.608503675553	0.660109408705	0.642039724463	0.906138183072	0.0	0.799938651053	0.673598933546	0.826841036946	0.664736529112	0.727893398109	0.848477357318	0.848085021593	0.68440584387	0.838425691524	0.70492053411	0.833080910537	0.82397533658	0.791527594581	0.826825465994	0.648227735168	0.887788938612	0.737177365219	0.719501641963	0.621538027554	0.713217873062	0.630854747565	0.850713742393	0.877312167719	0.833226157484	0.843006758545	0.657859611753	0.649404064851	0.702127014044	0.830474959079	0.706478824658	0.654391348945	0.625785248794	0.756935393595	0.688795361952	0.64068959343	0.736831912158	0.826156663357	0.883017449338	0.808739562688	0.605939348846	0.816922474418	0.830286394094	0.787694602389	0.801361676524	0.788490277131	0.868169091876	0.806733739439	0.823509124794	0.790176914546	0.792950659559	0.620706621484	0.618335958702	0.828241263645	0.87930864957	0.921474342842	0.718207999835	0.641594306143	0.807795364897	0.702449960087	0.71232398094	0.677221704541	0.67892394915	0.652314791477	0.646330793413	0.661740963044	0.6076177349
