	Elizabeth.Chris.WT.Ile.732542	Uri.Jake.TGIle.732486	Uri.Jake.TGCec.732550	Nick.Krishna.TG.Oral.732464	Joey.Aaron.Kyle.WT.Ile.732540	Wang.TG.Fec.732515	Ryan.WT.Abd.732465	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	TH.CVA.WT.Ile.732517	Brad.Jon.WT.Oral.732528	TH.CVA.WT.Fec.732553	Brad.Jon.WT.Col.732469	Brad.Jon.WT.Con1.732543	Joey.Aaron.Kyle.WT.Fec.732462	Chen.Lladser.WT.Fec.732512	Wang.TG.Ile.732525	Uri.Jake.TGOral.732536	Elizabeth.Chris.WT.Oral.732520	Joey.Aaron.Kyle.WT.Abd.732541	Ryan.WT.Fec.732502	Jordan.Lisette.TG.Ile.732463	Elizabeth.Chris.WT.Fec.732549	Joshua.Jose.WTIle.732530	Gail.TG.Abd.732538	Joey.Aaron.Kyle.WT.Col.732503	Joey.Aaron.Kyle.WT.Oral.732506	Joshua.Jose.WTOral.732551	Nick.Krishna.TG.Abd.732510	Chen.Lladser.WT.Col.732473	Nick.Krishna.TG.Cec.732493	Nick.Krishna.TG.Ile.732501	Brad.Jon.WT.Fec.732480	Ryan.WT.Ile.732523	BLANK11.732489	Joey.Aaron.Kyle.WT.Con1.732511	Elizabeth.Chris.WT.Col.732481	Brad.Jon.WT.Cec.732554	Jordan.Lisette.TG.Cec.732483	Gail.TG.Ile.732556	Chen.Lladser.WT.Oral.732521	Brad.Jon.WT.Abd.732474	TH.CVA.WT.Con1.732476	Gail.TG.Cec.732526	Chen.Lladser.WT.Ile.732478	Uri.Jake.TGCon1.732472	Jordan.Lisette.TG.Fec.732499	Gail.TG.Fec.732514	Ryan.WT.Con7.732519	Wang.TG.Oral.732507	Joshua.Jose.WTCec.732546	TH.CVA.WT.Cec.732496	Elizabeth.Chris.WT.Cec.732516	Joshua.Jose.WTCol.732534	Joshua.Jose.WTCon1.732471	Ryan.WT.Cec.732545	Chen.Lladser.WT.Con1.732529	Wang.TG.Abd.732547	Ryan.WT.Col.732487	Elizabeth.Chris.WT.Con1.732495	Brad.Jon.WT.Ile.732492	Chen.Lladser.WT.Abd.732488	Jordan.Lisette.TG.Col.732461	Ryan.WT.Oral.732500	Joshua.Jose.WTFec.732466	Jordan.Lisette.TG.Oral.732539	Gail.TG.Oral.732531	Nick.Krishna.TG.Con1.732508	Wang.TG.Cec.732527	Joey.Aaron.Kyle.WT.Cec.732518	Wang.TG.Con1.732535	Gail.TG.Con1.732475	Uri.Jake.TGFec.732494	Chen.Lladser.WT.Cec.732509	Jordan.Lisette.TG.Con1.732484	Wang.TG.Col.732505	Uri.Jake.TGCol.732482	Nick.Krishna.TG.Col.732532
Elizabeth.Chris.WT.Ile.732542	0.0	0.459814807224	0.351716748994	0.676709104162	0.264403354886	0.393775019716	0.327394005814	0.375299406583	0.382742142395	0.43044617295	0.682321700857	0.343564854528	0.504262244624	0.391376548127	0.227235186628	0.344828611515	0.454932684518	0.67534023189	0.596675254748	0.390208465159	0.261520300187	0.34953151705	0.144949211185	0.447622362181	0.619103371324	0.248065506574	0.337734589548	0.521627222561	0.534635788825	0.388263656852	0.321457279446	0.425860869724	0.366002673968	0.501141001815	0.52380836016	0.353337962393	0.501354858482	0.395116458955	0.35369583858	0.438126969114	0.479174702352	0.313570780198	0.459851651548	0.374098775922	0.470710785532	0.357361180218	0.347657345737	0.41660531875	0.301360486913	0.658929281308	0.325305245091	0.367570798093	0.223683700732	0.274242098159	0.368138304253	0.295822492428	0.476398425392	0.511522298257	0.329401120355	0.290486205755	0.476281450277	0.615554990287	0.362470420949	0.401260053787	0.294788129057	0.650729097314	0.664243261378	0.417556707225	0.343766556952	0.335394225915	0.368436569053	0.378084720443	0.371543274579	0.387881748724	0.376046611566	0.351358277351	0.348688091412	0.317338531719
Uri.Jake.TGIle.732486	0.459814807224	0.0	0.3388827111	0.710629805917	0.443637408641	0.426820073078	0.512642607429	0.297020408437	0.364239013093	0.444172287947	0.722609443233	0.308382408316	0.378390329737	0.326339593268	0.464768615637	0.246372118464	0.370530803671	0.706951636911	0.607915880267	0.370466000413	0.429925964859	0.416329066814	0.447245746518	0.576497649972	0.633478678739	0.454119448601	0.367942135691	0.596358721946	0.536149844022	0.360659067123	0.353504137948	0.25078943165	0.401743042715	0.639056280441	0.599881986414	0.481974973594	0.53965495243	0.432909879735	0.436106238397	0.295983234386	0.586194616198	0.344146351583	0.29379730824	0.38308323416	0.118072377334	0.225991936642	0.425586330882	0.430932416267	0.442055313878	0.694089634847	0.532153362273	0.325052217664	0.5049985925	0.503447438713	0.505996307492	0.49344725612	0.368268403149	0.598394153594	0.528227408805	0.487933509084	0.409766016805	0.647054260661	0.417307975575	0.301500026003	0.475715549325	0.695682532771	0.703952840066	0.305364560061	0.379822156117	0.497787709612	0.312000385942	0.285419681186	0.351852344581	0.322464626904	0.381592407288	0.424059934279	0.318245482081	0.316763252188
Uri.Jake.TGCec.732550	0.351716748994	0.3388827111	0.0	0.627283595376	0.389923783487	0.230058336367	0.423985353442	0.23711911143	0.215089490849	0.310716068286	0.606823304998	0.193875627202	0.497070055086	0.325413211722	0.346177246191	0.187052230818	0.423908472307	0.623101685181	0.51075658931	0.303487655802	0.344736183508	0.269093314902	0.355274059077	0.50357375275	0.540667811661	0.317902074243	0.208353453036	0.502136485906	0.433703160657	0.206802543763	0.113365824793	0.206520336205	0.241894007128	0.587628144054	0.497690603358	0.471504322381	0.55332357588	0.266696625771	0.261838295093	0.256994039489	0.480090673903	0.227761067627	0.437836424369	0.178554555659	0.385487780645	0.26839925363	0.251916790537	0.258581114361	0.45642811054	0.591144087943	0.437554080553	0.183315123696	0.379542327526	0.381425681143	0.474245934898	0.427397149826	0.457463903254	0.504444020281	0.428968491976	0.428929978389	0.467066640544	0.59227022997	0.226617198606	0.36410558069	0.372230126346	0.61338224299	0.60133466506	0.361072837255	0.161137701363	0.452686010472	0.301081811435	0.299882144622	0.200081724468	0.179370040733	0.339172776891	0.202725552317	0.157591886533	0.11969430672
Nick.Krishna.TG.Oral.732464	0.676709104162	0.710629805917	0.627283595376	0.0	0.700102800066	0.593852858193	0.698361933491	0.625727543156	0.588394816247	0.668215592819	0.280720555019	0.636383226986	0.753084442555	0.664997420544	0.671094532813	0.650933099266	0.737394803886	0.108533638951	0.697458244071	0.632871734282	0.657559579854	0.644530173287	0.67003879623	0.755001346978	0.218454872758	0.666426583728	0.649641987263	0.614470466976	0.358015796938	0.640880296764	0.619583078454	0.621822292433	0.639150136579	0.812378800201	0.637710598321	0.743586901222	0.769433668502	0.667765677807	0.653371093243	0.616399514788	0.295728465992	0.627072812001	0.737306215685	0.616307452564	0.71953998924	0.663267943122	0.643604428126	0.588052828395	0.744790060792	0.234715838176	0.712067112185	0.626877171115	0.656584991686	0.648144901065	0.745043334198	0.709636561068	0.7240467884	0.640047687911	0.681557986411	0.702491529652	0.743455613526	0.529480061369	0.635108860646	0.689637624228	0.66444214679	0.0973157982808	0.208569295461	0.660540713369	0.622099024219	0.750146381641	0.651775064643	0.648044096261	0.614610274676	0.640809829916	0.676607836266	0.606304406355	0.626835635479	0.63130867642
Joey.Aaron.Kyle.WT.Ile.732540	0.264403354886	0.443637408641	0.389923783487	0.700102800066	0.0	0.435243066935	0.277355799875	0.383205579952	0.4290366522	0.462854357909	0.72120989266	0.37254672287	0.45302306321	0.388516692372	0.213156849141	0.370481978964	0.431279834782	0.705693340007	0.622518770956	0.384957527409	0.292865723483	0.380590848738	0.286948144506	0.47099993646	0.648223104078	0.220934372292	0.315924084205	0.548452115386	0.548649122803	0.433294724041	0.383609005947	0.431931433851	0.411009897541	0.517799743047	0.552549680879	0.246134959388	0.461613576265	0.434864873157	0.382935342502	0.462197565284	0.471873154522	0.348557914955	0.379455189432	0.417519231965	0.433715599572	0.356910836993	0.386540330384	0.470654904086	0.263786086957	0.694651792423	0.277614520103	0.38923268857	0.256311649083	0.282249713919	0.267430394961	0.221198078154	0.437355137126	0.544751769843	0.311516753306	0.326530404015	0.450938275756	0.660955693411	0.408628204989	0.324578015416	0.261272993292	0.688345852792	0.703277431063	0.396514130141	0.383774599867	0.188710643922	0.397841723698	0.396774565626	0.405190171753	0.422446727228	0.357356749478	0.414994973987	0.378515451147	0.351730281377
Wang.TG.Fec.732515	0.393775019716	0.426820073078	0.230058336367	0.593852858193	0.435243066935	0.0	0.473418995894	0.212639837246	0.116594974557	0.435189415294	0.571021823602	0.269696290826	0.51311475443	0.408572151909	0.373566925868	0.267090349938	0.4606870227	0.59103164279	0.493148075946	0.373842246928	0.354605357696	0.284598281872	0.384571107962	0.525142527103	0.561369785172	0.35261847267	0.346167387181	0.524300807966	0.482695256779	0.339285795877	0.242100660819	0.224315850328	0.204955926652	0.607324946963	0.522412378868	0.516124258329	0.590746243853	0.334999966049	0.319327459076	0.25886295276	0.484673959116	0.284972825092	0.47809613154	0.291591482502	0.4334593174	0.326210153566	0.299524825721	0.108730496817	0.499373143737	0.559028035989	0.477395603361	0.234433933711	0.415126250458	0.413193676082	0.52031699346	0.469727420037	0.496067279749	0.528464392938	0.461476816075	0.459819816219	0.486731262013	0.615617867249	0.286475117312	0.417954604876	0.398851738447	0.589581109226	0.567224089218	0.420854916059	0.254889970092	0.496761740597	0.291315726963	0.338093356001	0.136641604639	0.296258564228	0.375218175665	0.136413078894	0.180934214992	0.27469462237
Ryan.WT.Abd.732465	0.327394005814	0.512642607429	0.423985353442	0.698361933491	0.277355799875	0.473418995894	0.0	0.457832078086	0.459099013678	0.465063636241	0.72594852206	0.397982385056	0.470998449101	0.409712441936	0.317114487609	0.431169076785	0.440936839214	0.699491985979	0.643173908805	0.432297993635	0.392333251918	0.395902811657	0.354216405138	0.467465511841	0.652186594365	0.341006842677	0.346252208018	0.538784689998	0.575125890103	0.460011669824	0.406096457295	0.49278094292	0.425208916787	0.498461751412	0.539506438943	0.349544405836	0.48412328874	0.429413882011	0.391941676536	0.506103680908	0.520480419745	0.392771410995	0.429199680532	0.426797561822	0.519302641305	0.427977825363	0.402907543614	0.504312096778	0.32924777264	0.704013854545	0.32396865689	0.426913142153	0.267352397409	0.314606983027	0.346781772593	0.147588682632	0.457256896832	0.536623292307	0.186889098145	0.355947658978	0.448681294727	0.669677502557	0.417728523288	0.386899496332	0.369925947472	0.686627658182	0.710198706133	0.446389014963	0.391846133244	0.314591600884	0.43792493349	0.438027304279	0.465542338207	0.465459706108	0.376737800122	0.436212770608	0.429949721513	0.386289740599
TH.CVA.WT.Col.732504	0.375299406583	0.297020408437	0.23711911143	0.625727543156	0.383205579952	0.212639837246	0.457832078086	0.0	0.194493329187	0.406729811655	0.610635748156	0.192722973405	0.447116689858	0.386850631431	0.362610749417	0.22072738817	0.437812528224	0.618614359505	0.519792869822	0.315527939266	0.319419467813	0.321791347662	0.361459361717	0.532845259255	0.573276940606	0.33329408417	0.342771107354	0.542452256245	0.468124857822	0.332656938336	0.259645161338	0.184404682924	0.233216014514	0.606075423578	0.539030368356	0.471183327249	0.556053249052	0.358565761173	0.309897791231	0.2437857204	0.476118335311	0.263727261948	0.368486830568	0.306258915448	0.318667564282	0.245329470438	0.295765374134	0.230367703478	0.43726298589	0.59253977849	0.45666997905	0.152911367624	0.40854321777	0.408162037304	0.471975006332	0.430887193419	0.435889241376	0.546699461918	0.453239922432	0.445647508677	0.464610775916	0.632017238138	0.282333530201	0.306616326946	0.372783498603	0.608635713785	0.599513802648	0.367533305824	0.284343441889	0.451193727611	0.294486520194	0.323120309069	0.161133045151	0.279060552426	0.332260481915	0.22635842548	0.190012202749	0.256404574808
Gail.TG.Col.732544	0.382742142395	0.364239013093	0.215089490849	0.588394816247	0.4290366522	0.116594974557	0.459099013678	0.194493329187	0.0	0.415037023161	0.566019059542	0.224866478947	0.462680764374	0.353697068659	0.380792470102	0.211473502024	0.405376666454	0.581820154434	0.465604630255	0.328477281812	0.348818322807	0.277941153272	0.380462688059	0.509454204966	0.534108832952	0.363335864826	0.321164683688	0.513636357003	0.464008765589	0.313974648923	0.24021160945	0.172170751113	0.200122767464	0.59140568354	0.510179063743	0.495701268665	0.5530239906	0.336196004719	0.319631536695	0.19035482212	0.473307467698	0.253007733	0.43736046297	0.262448805938	0.372584958278	0.27472756391	0.296827330133	0.113488109051	0.467687912143	0.549554442372	0.480978951558	0.196883679997	0.415936150474	0.417505211161	0.509721098391	0.457307743138	0.448713240434	0.514833985562	0.454814567456	0.444927176913	0.440822978749	0.585087430802	0.282828468097	0.366952538192	0.408171357527	0.57136499385	0.561474666094	0.363673559296	0.235461627595	0.484654789435	0.244910409174	0.272827198806	0.140341436272	0.245591991955	0.342434436507	0.150347923174	0.163872564165	0.232097718695
TH.CVA.WT.Ile.732517	0.43044617295	0.444172287947	0.310716068286	0.668215592819	0.462854357909	0.435189415294	0.465063636241	0.406729811655	0.415037023161	0.0	0.688250038649	0.326833918458	0.558227467143	0.371475857512	0.435203742633	0.370867539565	0.503829544713	0.668501335136	0.652216348142	0.342252352746	0.493942781436	0.330491675644	0.454191061767	0.569383929491	0.575200832835	0.451517549919	0.311773988767	0.543417698079	0.496882959183	0.288467098253	0.309677455515	0.408997500141	0.390173166106	0.622401997368	0.544627305472	0.545490813238	0.625120123116	0.299507951934	0.331581727651	0.398303665176	0.536491359675	0.365719872172	0.497993114877	0.264845908865	0.479630611725	0.398247671968	0.34561487923	0.4585625852	0.539211836606	0.665033387944	0.478022062735	0.330978886653	0.414450491341	0.424674059599	0.543042169202	0.471479149121	0.531380164743	0.544566552786	0.458091071305	0.505855793823	0.531734107201	0.62258311026	0.342251181498	0.407816808605	0.473118108797	0.655229784748	0.671671328716	0.44971099368	0.307488269821	0.531149878368	0.43271409704	0.411074021159	0.419576309694	0.319317161918	0.442085450234	0.396158566393	0.374671691658	0.294399737324
