	Ryan.WT.Con7.732519	Ryan.WT.Abd.732465	Ryan.WT.Col.732487	Ryan.WT.Cec.732545	Ryan.WT.Fec.732502	TH.CVA.WT.Cec.732496	Uri.Jake.TGCec.732550	Jordan.Lisette.TG.Cec.732483	Joshua.Jose.WTFec.732466	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	Joey.Aaron.Kyle.WT.Col.732503	Joey.Aaron.Kyle.WT.Cec.732518	Elizabeth.Chris.WT.Cec.732516	Elizabeth.Chris.WT.Fec.732549	Uri.Jake.TGCol.732482	Joshua.Jose.WTCon1.732471	Joey.Aaron.Kyle.WT.Con1.732511	Joshua.Jose.WTCol.732534	Chen.Lladser.WT.Cec.732509	TH.CVA.WT.Fec.732553	Nick.Krishna.TG.Ile.732501	Joey.Aaron.Kyle.WT.Fec.732462	Wang.TG.Col.732505	Brad.Jon.WT.Fec.732480	Nick.Krishna.TG.Cec.732493	Nick.Krishna.TG.Col.732532	Jordan.Lisette.TG.Con1.732484	Uri.Jake.TGFec.732494	Joey.Aaron.Kyle.WT.Ile.732540	Gail.TG.Fec.732514	Brad.Jon.WT.Col.732469	Wang.TG.Cec.732527	Elizabeth.Chris.WT.Con1.732495	Uri.Jake.TGIle.732486	TH.CVA.WT.Ile.732517	Uri.Jake.TGCon1.732472	Gail.TG.Cec.732526	Jordan.Lisette.TG.Fec.732499	Gail.TG.Ile.732556	Wang.TG.Ile.732525	Elizabeth.Chris.WT.Ile.732542	Gail.TG.Con1.732475	Joshua.Jose.WTCec.732546	Chen.Lladser.WT.Fec.732512	Jordan.Lisette.TG.Col.732461	Wang.TG.Con1.732535	Brad.Jon.WT.Ile.732492	Joey.Aaron.Kyle.WT.Oral.732506	Joey.Aaron.Kyle.WT.Abd.732541	Wang.TG.Fec.732515	Chen.Lladser.WT.Ile.732478	Chen.Lladser.WT.Oral.732521	Ryan.WT.Oral.732500	Chen.Lladser.WT.Col.732473	Nick.Krishna.TG.Abd.732510	Joshua.Jose.WTOral.732551	Brad.Jon.WT.Cec.732554	Joshua.Jose.WTIle.732530	Wang.TG.Abd.732547	BLANK11.732489	Chen.Lladser.WT.Con1.732529	Brad.Jon.WT.Con1.732543	Brad.Jon.WT.Abd.732474	TH.CVA.WT.Con1.732476	Nick.Krishna.TG.Con1.732508	Jordan.Lisette.TG.Ile.732463	Gail.TG.Abd.732538	Chen.Lladser.WT.Abd.732488	Nick.Krishna.TG.Oral.732464	Jordan.Lisette.TG.Oral.732539	Elizabeth.Chris.WT.Col.732481	Brad.Jon.WT.Oral.732528	Uri.Jake.TGOral.732536	Elizabeth.Chris.WT.Oral.732520	Ryan.WT.Ile.732523	Wang.TG.Oral.732507	Gail.TG.Oral.732531
Ryan.WT.Con7.732519	0.0	0.531685556518	0.600591887886	0.457632502081	0.590754096642	0.704720870593	0.70554146658	0.748202969249	0.642760959252	0.709913584738	0.729199294302	0.592050251012	0.545001529554	0.592604187768	0.550652100443	0.698412793677	0.500040949339	0.558447823429	0.636201001081	0.673807783598	0.680210992614	0.762947335545	0.583296359529	0.698090798635	0.696655524139	0.693763796272	0.657149422807	0.647261909906	0.732093145892	0.572918305323	0.795156043602	0.744107798481	0.719667343964	0.565789161996	0.750366610979	0.716614693326	0.616393219278	0.692990037046	0.721111637434	0.76872157755	0.703682765868	0.544884972942	0.63548496774	0.607654605074	0.665391482917	0.759096888264	0.696121822335	0.748210243127	0.676347290573	0.685395502212	0.74810185088	0.757491716417	0.633468212899	0.677357448179	0.728977364583	0.728125684001	0.821404178791	0.719561119376	0.706504836572	0.795448300618	0.826913219887	0.752787809137	0.61441749306	0.674989506574	0.66463542253	0.692045458897	0.685872963239	0.770741100936	0.788362005907	0.854900121536	0.758692836505	0.717868559745	0.857938854102	0.766224410183	0.741639693636	0.679997303373	0.782834506171	0.882600522155
Ryan.WT.Abd.732465	0.531685556518	0.0	0.446178431404	0.396852780414	0.514182687598	0.66057960196	0.659974790637	0.68286701355	0.592068447458	0.6766189951	0.688149253153	0.546774065024	0.557708807138	0.501962329788	0.570682653322	0.649259590168	0.578701835926	0.617725094823	0.573500344157	0.668879851898	0.671433957592	0.782243304217	0.557195268243	0.638901859157	0.645370617053	0.644502444944	0.634861436074	0.711608937438	0.721306419065	0.5287619069	0.766098017625	0.796267107895	0.652294149125	0.645872652568	0.78215874551	0.657596085002	0.649711550415	0.663780309159	0.672028051153	0.780973901051	0.709885209432	0.516394607098	0.713661773423	0.561344754682	0.649817877801	0.693147645682	0.722700633315	0.778503045037	0.629365934213	0.652720298606	0.735365095656	0.7937320671	0.628687573399	0.647866145741	0.678828243787	0.711244119096	0.851022433244	0.636023892009	0.708677299815	0.802936401963	0.844487983856	0.7663931131	0.69201888907	0.648536210487	0.732591283453	0.746592021682	0.650834447019	0.765300756572	0.772617834684	0.867352792509	0.769651454955	0.736114137741	0.901001060547	0.795085826503	0.790253864673	0.613458863765	0.804220434506	0.902130085967
Ryan.WT.Col.732487	0.600591887886	0.446178431404	0.0	0.477938647014	0.588329066435	0.670559573561	0.708327333546	0.658158901362	0.589767557268	0.702697596136	0.717587536852	0.562131983094	0.600373240588	0.477695302061	0.634981330195	0.698122072272	0.633896854354	0.65275306065	0.57290625533	0.710679310603	0.691321986456	0.813013227204	0.572487893152	0.673913772775	0.665526250197	0.675811939232	0.672129422908	0.747822637224	0.770160436613	0.510412177737	0.778354162331	0.803160983124	0.664721590001	0.659150453703	0.808047767118	0.651221301919	0.696061149194	0.677719782717	0.686205230931	0.8050842323	0.724381905952	0.546646375558	0.728647562544	0.572419639588	0.692424330579	0.704287814196	0.740532450436	0.782315929296	0.623549539941	0.626635836741	0.776977339901	0.811771451979	0.614719457571	0.62705945019	0.690668874279	0.710850641036	0.831977605589	0.659987785406	0.708820340987	0.801375263541	0.828365024121	0.791740934884	0.718524130325	0.654784596991	0.733515145095	0.759158505995	0.654582266976	0.753933952044	0.765812770491	0.867655157875	0.78139419521	0.714998498434	0.869262399544	0.790057335556	0.784729965732	0.572165839934	0.80031227806	0.881776382728
Ryan.WT.Cec.732545	0.457632502081	0.396852780414	0.477938647014	0.0	0.540728325784	0.651958038031	0.686159108118	0.689424521717	0.613299165489	0.697253055913	0.722137201217	0.531004651633	0.517955636301	0.474659046161	0.531004671822	0.663490756024	0.565013930067	0.594880414139	0.538765326277	0.675895389076	0.667167291093	0.801745527753	0.506724684635	0.654632960825	0.661404565614	0.655765406711	0.633959907213	0.692565208476	0.749094219077	0.497162772582	0.794955980261	0.799952754949	0.677945019814	0.637284831026	0.806646235964	0.65777899235	0.625350257051	0.668798632424	0.667108764557	0.808881143775	0.727881513898	0.527864417909	0.702644578284	0.536165431142	0.652784606538	0.681302996856	0.740588812936	0.797496887084	0.629271745152	0.66114717463	0.751708475123	0.816708611639	0.617409197388	0.650874624657	0.713932477361	0.737907861441	0.855773810229	0.668660796794	0.728472152605	0.811132926725	0.845953519313	0.797488837252	0.691085074443	0.657807021154	0.711874292297	0.763370657551	0.672348516166	0.769892155249	0.784584136158	0.862856972733	0.782809291768	0.754862557362	0.901163824191	0.812462369894	0.804025535932	0.637454296071	0.826582004724	0.903573307349
Ryan.WT.Fec.732502	0.590754096642	0.514182687598	0.588329066435	0.540728325784	0.0	0.683434374454	0.673752791962	0.742110500341	0.630919883586	0.69290866184	0.679270341639	0.566735461552	0.622887509914	0.603651831883	0.543979316528	0.662448874696	0.64015702476	0.64693567381	0.625737407285	0.66173872887	0.694503744019	0.770981806885	0.574108163847	0.645703208439	0.67453471431	0.676519750379	0.676839398801	0.721016237998	0.691887921462	0.602456541543	0.724307990893	0.75937220241	0.712631096953	0.638910262287	0.776649601799	0.70237517663	0.660739033163	0.690015883629	0.704685912027	0.763053075983	0.683768831915	0.560648130552	0.714612889025	0.626245304741	0.671667036116	0.740708820713	0.710430008481	0.75855536855	0.684627594041	0.693368359381	0.733407461777	0.776761241112	0.659957211611	0.693400288712	0.696824388272	0.714337881951	0.827657311584	0.689783309456	0.701191270212	0.788044923558	0.822523717122	0.736667218044	0.702679775343	0.668323938284	0.742345203077	0.748175501205	0.688565816365	0.741620961264	0.766524445458	0.81961362532	0.757201397767	0.716421764475	0.877593188448	0.775373680658	0.762340518086	0.627372318687	0.771217602535	0.868780426633
TH.CVA.WT.Cec.732496	0.704720870593	0.66057960196	0.670559573561	0.651958038031	0.683434374454	0.0	0.480818886159	0.439097593324	0.716951891204	0.382429240382	0.494694169548	0.6939699158	0.695292661516	0.643798996595	0.677545218514	0.440667236276	0.614861109191	0.727539843229	0.680034271874	0.519981887211	0.414287194077	0.638352673189	0.683140751079	0.475992122147	0.499053618164	0.460133468871	0.450642122438	0.536362052005	0.517838240203	0.67032947516	0.605472314487	0.716931956422	0.493426289272	0.72979125568	0.634835253243	0.40649935608	0.476312664771	0.514347347994	0.43239652728	0.636009871595	0.615608451345	0.574208792017	0.591354352664	0.704018057457	0.483603578022	0.440316622905	0.575382288894	0.662799138535	0.455803984389	0.484865723659	0.531742582539	0.63028919809	0.724543295172	0.40627298965	0.602930206899	0.569608714882	0.84656090812	0.529902706132	0.702927612624	0.808817756046	0.84685000593	0.699127864766	0.577307699231	0.545383386811	0.564360569845	0.630838208205	0.509490277179	0.604580403298	0.722912309358	0.831661328703	0.817604441343	0.715237889532	0.89419667676	0.730505584525	0.703793473351	0.67192060834	0.745544898174	0.856641890587
Uri.Jake.TGCec.732550	0.70554146658	0.659974790637	0.708327333546	0.686159108118	0.673752791962	0.480818886159	0.0	0.497888901686	0.709746957981	0.532033338927	0.455029124764	0.678867531434	0.70767241778	0.680334255724	0.681114485683	0.390288109717	0.603659127507	0.725024309394	0.683642256815	0.459388081544	0.454580607996	0.572129699889	0.683264030519	0.457532832844	0.467750678628	0.412740736193	0.383936617721	0.578501578209	0.493568823719	0.65441314749	0.570129958227	0.716200753136	0.46411587191	0.729185925189	0.561377906489	0.450195423571	0.487890791606	0.495695270306	0.464162099238	0.580933587248	0.571502293397	0.574297067633	0.560062330404	0.694603971962	0.439755264364	0.485365192292	0.557749466343	0.675945516402	0.397353736699	0.513628844396	0.483141572668	0.60615244292	0.679081694957	0.447840195483	0.542387296909	0.57405891041	0.863504419293	0.472752488703	0.654740774453	0.79841820428	0.848151203679	0.648501721013	0.546291804932	0.529150303964	0.58778011441	0.587426289232	0.511923433697	0.63078401085	0.672214060387	0.833299618643	0.794538387916	0.709311691416	0.892117923176	0.724669641274	0.683027437618	0.695220146939	0.760611607193	0.863023826999
Jordan.Lisette.TG.Cec.732483	0.748202969249	0.68286701355	0.658158901362	0.689424521717	0.742110500341	0.439097593324	0.497888901686	0.0	0.720241525309	0.526733426707	0.565716959432	0.737787002068	0.760548917885	0.66237083528	0.741326012957	0.504216438729	0.66507607739	0.759017612324	0.67881198205	0.60311180837	0.453566458974	0.687494203578	0.732548400542	0.518823708323	0.494833177548	0.478986001152	0.520572378303	0.555241005865	0.627405333402	0.692670244204	0.643565647382	0.789662763994	0.484450198244	0.774303447897	0.658497969105	0.38770710469	0.602900360182	0.493899226262	0.340317770664	0.664080346718	0.649966455423	0.602574791997	0.674715152786	0.712702251795	0.520750304467	0.352170668164	0.655055215118	0.731491851004	0.415639081992	0.520629568657	0.570979283605	0.697677081973	0.710386772805	0.402033850465	0.588974650568	0.631309547961	0.86297180162	0.468820138263	0.69662789967	0.810701459604	0.869931365866	0.735213115788	0.644401214226	0.542400140277	0.634566414328	0.701784683332	0.518840041173	0.641803001837	0.738826887299	0.851537177219	0.814129817548	0.748057060756	0.910231658629	0.746225142299	0.731402747921	0.657024759706	0.783674497647	0.86133761247
Joshua.Jose.WTFec.732466	0.642760959252	0.592068447458	0.589767557268	0.613299165489	0.630919883586	0.716951891204	0.709746957981	0.720241525309	0.0	0.716665164204	0.729896648764	0.568843290714	0.58599754196	0.594423778853	0.597865662413	0.693579490359	0.564997872166	0.667398821793	0.469254566985	0.722484296617	0.719829606608	0.844334634168	0.573947998739	0.692147500294	0.698704463926	0.69528788294	0.688077771479	0.741319277048	0.747988916729	0.594999587168	0.796394159321	0.848045879126	0.717603101367	0.670533624085	0.832487035025	0.713394270156	0.716802948414	0.7027541514	0.721663105927	0.829211114055	0.755899911817	0.579871413322	0.752008333879	0.439243601472	0.707795072718	0.740688213194	0.741702872101	0.833161756779	0.695867686041	0.717678540592	0.757517480868	0.841879016104	0.532519550626	0.714081809437	0.738226405849	0.753255980742	0.868417599117	0.689182259683	0.734853127837	0.83136473895	0.858006560592	0.813457896409	0.748532487686	0.726731571372	0.767247667678	0.770457699695	0.710498484579	0.812180766965	0.813193560395	0.882095451067	0.836118318741	0.775270043352	0.900287106247	0.819870355016	0.832667568185	0.670247639816	0.795372283185	0.900048839708
TH.CVA.WT.Col.732504	0.709913584738	0.6766189951	0.702697596136	0.697253055913	0.69290866184	0.382429240382	0.532033338927	0.526733426707	0.716665164204	0.0	0.513512800565	0.708034692101	0.699791384948	0.701438815349	0.724811806306	0.518345090997	0.660587889988	0.729634294107	0.733683051779	0.567004968744	0.446680831774	0.601519280066	0.716431336009	0.538326561622	0.546095897427	0.508329639058	0.515439920268	0.554440682517	0.499590394441	0.687592333799	0.572961039347	0.683431439843	0.565170260398	0.73566595816	0.609080402032	0.488477158285	0.500227809916	0.548835541335	0.510195930752	0.623913259498	0.607225438624	0.643424263936	0.607813642967	0.742728131855	0.517105804906	0.501264914763	0.542345709614	0.626370888873	0.52106894955	0.547359291169	0.553474126867	0.5981081921	0.725331297255	0.467125596202	0.619141938128	0.584349390092	0.857870823491	0.588116751551	0.73695826863	0.827886815089	0.850971953629	0.701000605288	0.604591017103	0.589594359035	0.553365142002	0.587243571186	0.569591138337	0.659051548779	0.743266891592	0.83385118994	0.794483537369	0.704545926007	0.88365838407	0.72336314363	0.698098921487	0.682862310407	0.750816436098	0.856598693887
