	Ryan.WT.Con7.732519	Ryan.WT.Abd.732465	Ryan.WT.Col.732487	Ryan.WT.Cec.732545	Ryan.WT.Fec.732502	TH.CVA.WT.Cec.732496	Uri.Jake.TGCec.732550	Jordan.Lisette.TG.Cec.732483	Joshua.Jose.WTFec.732466	TH.CVA.WT.Col.732504	Gail.TG.Col.732544	Joey.Aaron.Kyle.WT.Col.732503	Joey.Aaron.Kyle.WT.Cec.732518	Elizabeth.Chris.WT.Cec.732516	Elizabeth.Chris.WT.Fec.732549	Uri.Jake.TGCol.732482	Joshua.Jose.WTCon1.732471	Joey.Aaron.Kyle.WT.Con1.732511	Joshua.Jose.WTCol.732534	Chen.Lladser.WT.Cec.732509	TH.CVA.WT.Fec.732553	Nick.Krishna.TG.Ile.732501	Joey.Aaron.Kyle.WT.Fec.732462	Wang.TG.Col.732505	Brad.Jon.WT.Fec.732480	Nick.Krishna.TG.Cec.732493	Nick.Krishna.TG.Col.732532	Jordan.Lisette.TG.Con1.732484	Uri.Jake.TGFec.732494	Joey.Aaron.Kyle.WT.Ile.732540	Gail.TG.Fec.732514	Brad.Jon.WT.Col.732469	Wang.TG.Cec.732527	Elizabeth.Chris.WT.Con1.732495	Uri.Jake.TGIle.732486	TH.CVA.WT.Ile.732517	Uri.Jake.TGCon1.732472	Gail.TG.Cec.732526	Jordan.Lisette.TG.Fec.732499	Gail.TG.Ile.732556	Wang.TG.Ile.732525	Elizabeth.Chris.WT.Ile.732542	Gail.TG.Con1.732475	Joshua.Jose.WTCec.732546	Chen.Lladser.WT.Fec.732512	Jordan.Lisette.TG.Col.732461	Wang.TG.Con1.732535	Brad.Jon.WT.Ile.732492	Joey.Aaron.Kyle.WT.Oral.732506	Joey.Aaron.Kyle.WT.Abd.732541	Wang.TG.Fec.732515	Chen.Lladser.WT.Ile.732478	Chen.Lladser.WT.Oral.732521	Ryan.WT.Oral.732500	Chen.Lladser.WT.Col.732473	Nick.Krishna.TG.Abd.732510	Joshua.Jose.WTOral.732551	Brad.Jon.WT.Cec.732554	Joshua.Jose.WTIle.732530	Wang.TG.Abd.732547	BLANK11.732489	Chen.Lladser.WT.Con1.732529	Brad.Jon.WT.Con1.732543	Brad.Jon.WT.Abd.732474	TH.CVA.WT.Con1.732476	Nick.Krishna.TG.Con1.732508	Jordan.Lisette.TG.Ile.732463	Gail.TG.Abd.732538	Chen.Lladser.WT.Abd.732488	Nick.Krishna.TG.Oral.732464	Jordan.Lisette.TG.Oral.732539	Elizabeth.Chris.WT.Col.732481	Brad.Jon.WT.Oral.732528	Uri.Jake.TGOral.732536	Elizabeth.Chris.WT.Oral.732520	Ryan.WT.Ile.732523	Wang.TG.Oral.732507	Gail.TG.Oral.732531
Ryan.WT.Con7.732519	0.0	0.414247001792	0.448860551142	0.337054500874	0.369060651603	0.464981542082	0.475004168873	0.510023125329	0.440797630609	0.460349663148	0.540053908122	0.4340065137	0.295724838871	0.473090006897	0.361160082759	0.496984881333	0.294975410906	0.280617204504	0.476211041241	0.432526647924	0.451949216825	0.486208688534	0.414581227434	0.516101393882	0.474792928631	0.488538240462	0.42608017931	0.342373372342	0.500553744043	0.300856515271	0.578353960531	0.413870060892	0.480724698319	0.298379403025	0.430431127932	0.483376641669	0.411065034483	0.461136455172	0.498789496552	0.484023467816	0.348287149481	0.34344600827	0.379099095642	0.394645772195	0.429252975124	0.51365146109	0.35589714145	0.392449582118	0.448170049881	0.420356809845	0.579338838209	0.436175128175	0.513466200929	0.309446013003	0.479670457784	0.5528440673	0.647691082186	0.501129386207	0.482048030538	0.65753034214	0.652230184708	0.411381448003	0.295708142236	0.431247716759	0.347696006171	0.397165415815	0.457521630961	0.676049647902	0.572219017258	0.704952141954	0.720390225759	0.561566967201	0.68654202898	0.734545848419	0.500204923067	0.577444432703	0.705197608395	0.672835733675
Ryan.WT.Abd.732465	0.414247001792	0.0	0.179056536614	0.127226618524	0.457799586492	0.447147918701	0.427882046864	0.394904114456	0.386452708477	0.49552854583	0.508826890979	0.401337257064	0.376945732705	0.267772562081	0.44034847041	0.462812274294	0.327304079654	0.443555459013	0.346336032226	0.465765665059	0.422764362509	0.540742158206	0.365803707788	0.45822041651	0.428022154297	0.407261943487	0.400011885254	0.465637944829	0.505398917988	0.313438885773	0.542879855272	0.61353950944	0.389473077813	0.447803426996	0.582337728582	0.436136195727	0.486586387538	0.422696519917	0.388715482369	0.543214923884	0.578647531129	0.375380248789	0.565727650878	0.318837198261	0.471726666969	0.417657181254	0.565100210343	0.653257897607	0.322734888844	0.460051705513	0.529441746493	0.597577078645	0.579452238301	0.464008715077	0.472477342103	0.631943395718	0.548348774923	0.41510805821	0.476735920264	0.565362221888	0.546971995354	0.599170345038	0.488852732176	0.454705869976	0.566989602796	0.550044654004	0.418113403944	0.738386658858	0.650091529979	0.761361058179	0.773323242892	0.806368859285	0.736304057685	0.786336818405	0.571315567558	0.522104488965	0.757810645022	0.724015545976
Ryan.WT.Col.732487	0.448860551142	0.179056536614	0.0	0.181115216547	0.449495524218	0.42594376995	0.398186355447	0.330347553539	0.362322501993	0.472756806643	0.487922779028	0.375309997801	0.413618384678	0.200788801577	0.438346215422	0.441646582566	0.376305165032	0.495389416816	0.28414154618	0.453754670196	0.398579707285	0.53144300615	0.343606550137	0.412203172848	0.397392895417	0.361441435025	0.379770631777	0.457413061832	0.48328924685	0.311585061954	0.506746373516	0.642512951232	0.348900455018	0.457825250186	0.597325355771	0.408470218257	0.484028604303	0.391887003783	0.339877907741	0.538362681399	0.598203018069	0.363497733506	0.56298126153	0.302243998451	0.465374263172	0.35887994533	0.558960209952	0.669726838317	0.28660199985	0.432398114905	0.493390144641	0.607704144671	0.561316903336	0.463343963784	0.445106176259	0.617349048054	0.512814826725	0.371393819531	0.448909084008	0.534247827679	0.517169826466	0.62305511335	0.490801911634	0.418854789009	0.590493154614	0.548644880325	0.380302765211	0.731355899941	0.639615460661	0.753066083108	0.774270112466	0.824036128084	0.738233278655	0.785753356648	0.574855664686	0.512453312596	0.752116969474	0.721351787332
Ryan.WT.Cec.732545	0.337054500874	0.127226618524	0.181115216547	0.0	0.381266992959	0.412761652893	0.412997707599	0.391316214107	0.361451960427	0.451481499607	0.492952351685	0.357876763992	0.311465006887	0.270699803942	0.360086392904	0.439755525395	0.29609470807	0.39484120885	0.336692269348	0.422537710171	0.390373272128	0.499750447658	0.317473494897	0.443375494725	0.409839021267	0.395624657304	0.37575787344	0.412890742465	0.465002749215	0.245467532782	0.530483175975	0.560454562866	0.379681693719	0.38009544531	0.520611283532	0.422472144379	0.431002439584	0.397588188952	0.383439651743	0.493774044766	0.51932720198	0.314390016876	0.497685776458	0.299127988981	0.420832841831	0.414390644274	0.494881142257	0.591266488719	0.306159917355	0.406327147451	0.516973690647	0.531144044914	0.539587056173	0.399093905215	0.444831027489	0.592206577135	0.552288114062	0.401237059495	0.475481455887	0.568410248822	0.552283063141	0.546567802797	0.42111254032	0.408011063891	0.51319999235	0.482374946321	0.370363637729	0.711044525234	0.620104676052	0.739932490195	0.755053363107	0.760211691926	0.722196231035	0.76883755946	0.542066011803	0.537808856262	0.739748613705	0.70832415918
Ryan.WT.Fec.732502	0.369060651603	0.457799586492	0.449495524218	0.381266992959	0.0	0.328874428356	0.321796809097	0.424499911645	0.237282674018	0.291252956582	0.331499589352	0.228214197105	0.40309134503	0.364256508135	0.150224056627	0.2994682357	0.426421366412	0.453444774309	0.303611022112	0.365681392143	0.336527849759	0.33635044174	0.257869676085	0.322276764037	0.332233538052	0.341412722261	0.374538616374	0.379170401604	0.287559979325	0.317790233671	0.354340020675	0.589730093617	0.372398150349	0.380447629398	0.545438689027	0.511889676085	0.392106441607	0.395415248499	0.396450713035	0.351087426124	0.542245902472	0.229308938701	0.402494081548	0.372894399013	0.355521921019	0.388354948312	0.381916650964	0.60554880969	0.452520802225	0.435690384713	0.342251467516	0.556285929814	0.559480106354	0.477357292022	0.440627785434	0.625012534136	0.607292822878	0.416868798721	0.535697781867	0.603163327988	0.605287991452	0.570528096024	0.437908600241	0.364832358012	0.573795448721	0.477552574892	0.377907693198	0.745981265369	0.637625148174	0.766307849254	0.788468610801	0.743193657372	0.752140350377	0.798936667185	0.580703552472	0.61975310784	0.773011352194	0.737762046157
TH.CVA.WT.Cec.732496	0.464981542082	0.447147918701	0.42594376995	0.412761652893	0.328874428356	0.0	0.158050802937	0.243307183878	0.302175107065	0.156381467483	0.222870797269	0.283595241844	0.451189235537	0.362351922647	0.329426760492	0.162948030384	0.456022112752	0.504744678431	0.341609735768	0.19179562301	0.0946094545654	0.216884469697	0.31958719266	0.200772604116	0.175241579707	0.17129417017	0.174238781695	0.317271682411	0.186241186581	0.395090537898	0.264041853842	0.57140595446	0.214367868371	0.417112959299	0.451635806776	0.344447269865	0.268811580479	0.211571840477	0.228052078835	0.234604806359	0.535227419517	0.315312335447	0.366948897211	0.391231363636	0.192286652897	0.203348886476	0.357407751268	0.604813044149	0.297732837466	0.267101139693	0.258571834936	0.472378273351	0.604899878227	0.35860209941	0.249435957587	0.558237999311	0.515958343021	0.249652587147	0.474223198237	0.516589672469	0.51070723929	0.514999812415	0.385685299035	0.226244877622	0.47955067682	0.410568254712	0.221408538164	0.710997765061	0.617972031671	0.770523797698	0.785295409718	0.80583344028	0.755929247612	0.799365771164	0.564003195617	0.598833536654	0.771046111129	0.739622245574
Uri.Jake.TGCec.732550	0.475004168873	0.427882046864	0.398186355447	0.412997707599	0.321796809097	0.158050802937	0.0	0.225189530058	0.276020186079	0.227315141282	0.222269522579	0.266113115093	0.453610702441	0.328212988175	0.337821389862	0.144022439697	0.453507724423	0.528996045388	0.311596966424	0.200535444521	0.152087057202	0.218042557455	0.30711314266	0.188148381528	0.193380673514	0.0995029841489	0.128665837449	0.351286883262	0.208336002757	0.384175289347	0.261036498966	0.614543902215	0.144876138536	0.444857101839	0.47133054781	0.315363246037	0.306346077863	0.182877625771	0.214594468238	0.268870099778	0.538056596056	0.316700647848	0.392370134041	0.372017122005	0.217612634047	0.198628421778	0.374233730903	0.624728822573	0.219952831186	0.32392601147	0.250221808852	0.497928823495	0.590303351905	0.423016239584	0.242689336375	0.562901318918	0.509944181582	0.219156647511	0.475727903657	0.515434757592	0.503970104314	0.571406726649	0.402447241959	0.229594111893	0.556769262215	0.449730805734	0.236211550792	0.697627242284	0.618365913163	0.7583498778	0.781153169759	0.809986640413	0.743998316192	0.79061004274	0.561669305241	0.569639393212	0.76260568163	0.728545274889
Jordan.Lisette.TG.Cec.732483	0.510023125329	0.394904114456	0.330347553539	0.391316214107	0.424499911645	0.243307183878	0.225189530058	0.0	0.333119305868	0.330746554675	0.339542944211	0.364474015414	0.485348402905	0.251988943024	0.41203674778	0.284855902861	0.444497276628	0.551358116915	0.289209011925	0.336072333379	0.245393538932	0.400416667368	0.35602697709	0.250984728149	0.224206180854	0.184383982729	0.234687718812	0.360518218017	0.343868687485	0.392235676148	0.350665240618	0.660060149231	0.197742036283	0.454446688158	0.560272507734	0.363859332866	0.401398575115	0.234670301208	0.0860275683556	0.416664091984	0.592073919987	0.357250193268	0.473036934164	0.363838073118	0.338302360633	0.0938938734375	0.462918138821	0.663856640138	0.237506406594	0.359363983069	0.344561496088	0.569162737578	0.613706411737	0.4436464036	0.285791201212	0.61188002006	0.469512940304	0.179718208268	0.447923346277	0.478553993445	0.45223011623	0.603321846268	0.460225035088	0.308124483432	0.593551036455	0.503790031311	0.240431491991	0.716487713723	0.62314185322	0.773764042162	0.79182269465	0.844713603428	0.759000564489	0.807513148751	0.587597550243	0.567163900256	0.782470203102	0.742095727794
Joshua.Jose.WTFec.732466	0.440797630609	0.386452708477	0.362322501993	0.361451960427	0.237282674018	0.302175107065	0.276020186079	0.333119305868	0.0	0.319459820813	0.355201154038	0.129271784976	0.332610316956	0.286487832852	0.216435260306	0.300209324604	0.340121315103	0.457727337147	0.160124728963	0.349802439697	0.289881702274	0.378468976435	0.137499297037	0.300892546456	0.29653978368	0.272001805651	0.326913893372	0.407932787059	0.329360365265	0.301024166673	0.376448897312	0.65778093459	0.3075217052	0.430984127352	0.589426381419	0.450038290834	0.406460120079	0.338460267193	0.311854997928	0.391890699747	0.610278361173	0.243651168	0.468270277026	0.179565919842	0.351266885884	0.307205465196	0.447442024676	0.674555138993	0.380073910028	0.427791817535	0.34847506435	0.59922079349	0.525585245245	0.511552495597	0.400258168985	0.636039880441	0.539710067312	0.337094800537	0.478938257616	0.547111415997	0.536090412114	0.636273785943	0.484939644221	0.349358686303	0.611287555187	0.530547631834	0.330356939239	0.747554309972	0.637668938663	0.758458302603	0.781809709158	0.824677940811	0.742113329262	0.792203022251	0.593320908439	0.569011244422	0.767291210407	0.727783956351
TH.CVA.WT.Col.732504	0.460349663148	0.49552854583	0.472756806643	0.451481499607	0.291252956582	0.156381467483	0.227315141282	0.330746554675	0.319459820813	0.0	0.246919380062	0.30374398346	0.451138087706	0.409956581264	0.312868246536	0.184261853894	0.479642846761	0.509163115243	0.380733035669	0.255789483115	0.186877360441	0.180519055757	0.346349552033	0.236240605193	0.213452810419	0.254608228808	0.263110364172	0.358816607437	0.158147064094	0.404800309077	0.273387767057	0.555463720339	0.305600473143	0.416010452027	0.394469067695	0.428828077188	0.254603122232	0.313435212624	0.302491268352	0.233491112911	0.516081682184	0.338690125449	0.369523235159	0.421315290315	0.227028084649	0.286875265334	0.334666989235	0.590900219467	0.382317670045	0.320412904491	0.264483165566	0.40467221984	0.581698933633	0.384794130699	0.334000672323	0.555822352854	0.573313259425	0.339414406307	0.513189154591	0.570828303418	0.571809691115	0.504083409085	0.423334962978	0.246383762696	0.461034160718	0.408749777528	0.290871996402	0.71005337562	0.619310330806	0.756601326135	0.771444070539	0.771079410192	0.741600045832	0.783279304428	0.560112980968	0.625791824563	0.757769594991	0.726103241965
